datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,AESI,Numerator,IR,lb,ub
TEST,0,none,no_dose,COVCANCER,ADEM_broad,0,0,0,6042.26
TEST,0,none,no_dose,COVCKD,ADEM_broad,0,0,0,30230.27
TEST,0,none,no_dose,COVCOPD,ADEM_broad,0,0,0,3057.88
TEST,0,none,no_dose,COVDIAB,ADEM_broad,0,0,0,2628.18
TEST,0,none,no_dose,COVHIV,ADEM_broad,0,0,0,122710.68
TEST,0,none,no_dose,COVOBES,ADEM_broad,0,0,0,182569.54
TEST,0,none,no_dose,COVSICKLE,ADEM_broad,0,0,0,368132.03
TEST,0,none,no_dose,CV,ADEM_broad,0,0,0,1024.36
TEST,0,none,no_dose,IMMUNOSUPPR,ADEM_broad,0,0,0,3273.32
TEST,0,none,no_dose,any_risk_factors,ADEM_broad,0,0,0,627.33
TEST,1,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,2749720.86
TEST,1,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,1924804.6
TEST,1,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,2406005.75
TEST,1,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,CV,ADEM_broad,0,0,0,641601.53
TEST,1,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,1480618.92
TEST,1,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,349964.47
TEST,2,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,2749720.86
TEST,2,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,1924804.6
TEST,2,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,2406005.75
TEST,2,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,CV,ADEM_broad,0,0,0,641601.53
TEST,2,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,1480618.92
TEST,2,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,349964.47
TEST,3,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,2749720.86
TEST,3,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,1924804.6
TEST,3,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,2406005.75
TEST,3,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,CV,ADEM_broad,0,0,0,641601.53
TEST,3,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,1480618.92
TEST,3,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,349964.47
TEST,4,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,2749720.86
TEST,4,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
