datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,AESI,Numerator,IR,lb,ub
TEST,0,none,no_dose,COVCANCER,ADEM_broad,0,0,0,7675.1
TEST,0,none,no_dose,COVCKD,ADEM_broad,0,0,0,32934.81
TEST,0,none,no_dose,COVCOPD,ADEM_broad,0,0,0,3460.55
TEST,0,none,no_dose,COVDIAB,ADEM_broad,0,0,0,3067.21
TEST,0,none,no_dose,COVHIV,ADEM_broad,0,0,0,184066.01
TEST,0,none,no_dose,COVOBES,ADEM_broad,0,0,0,182569.54
TEST,0,none,no_dose,COVSICKLE,ADEM_broad,0,0,0,368132.03
TEST,0,none,no_dose,CV,ADEM_broad,0,0,0,1152.44
TEST,0,none,no_dose,IMMUNOSUPPR,ADEM_broad,0,0,0,3859.64
TEST,0,none,no_dose,any_risk_factors,ADEM_broad,0,0,0,708.24
TEST,1,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,3849609.2
TEST,1,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,3849609.2
TEST,1,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,3849609.2
TEST,1,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,CV,ADEM_broad,0,0,0,874911.18
TEST,1,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,1749822.36
TEST,1,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,458286.81
TEST,2,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,1924804.6
TEST,2,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,1924804.6
TEST,2,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,1924804.6
TEST,2,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,CV,ADEM_broad,0,0,0,437455.59
TEST,2,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,874911.18
TEST,2,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,229143.4
TEST,3,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,1283203.07
TEST,3,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,1283203.07
TEST,3,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,1283203.07
TEST,3,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,CV,ADEM_broad,0,0,0,291637.06
TEST,3,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,583274.12
TEST,3,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,152762.27
TEST,4,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,962402.3
TEST,4,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,962402.3
TEST,4,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,962402.3
TEST,4,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,CV,ADEM_broad,0,0,0,218727.8
TEST,4,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,436039.88
TEST,4,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,114474.36
TEST,5,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,769921.84
TEST,5,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,769921.84
TEST,5,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,769921.84
TEST,5,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,CV,ADEM_broad,0,0,0,176125.91
TEST,5,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,355504.81
TEST,5,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,92348.4
TEST,6,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,641601.53
TEST,6,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,641601.53
TEST,6,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,641601.53
TEST,6,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,CV,ADEM_broad,0,0,0,147737.2
TEST,6,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,299414.05
TEST,6,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,77434.67
TEST,7,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,554470.46
TEST,7,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,552198.04
TEST,7,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,552198.04
TEST,7,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,CV,ADEM_broad,0,0,0,127712.15
TEST,7,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,262643.9
TEST,7,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,67200.16
TEST,8,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,497182
TEST,8,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,495354.13
TEST,8,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,495354.13
TEST,8,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,CV,ADEM_broad,0,0,0,114086.64
TEST,8,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,233917.23
TEST,8,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,60257.75
TEST,9,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,450623.15
