Datasource,Vax_dose1,Month_vax1,Followup_vax1,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,6,15533,37,51,56,47,15,84
TEST,AstraZeneca,5,9322,62,63,71,65,24,79
TEST,Pfizer,5,20802,56,65,70,62,17,93
TEST,Pfizer,4,14025,78,82,84,79,27,98
TEST,AstraZeneca,4,16530,71,73,75,72,27,79
TEST,Pfizer,1,3816,43,53,62,55,20,95
TEST,Moderna,6,2255,37,39,47,41,18,73
TEST,Pfizer,3,7449,83,87,89,83,22,99
TEST,Moderna,5,4210,54,58,64,55,19,79
TEST,J&J,5,1327,59,61,66,63,59,70
TEST,AstraZeneca,3,14375,52,63,77,62,23,79
TEST,Moderna,3,1711,54,64,73,62,28,83
TEST,Moderna,4,2323,56,68,73,64,26,82
TEST,AstraZeneca,2,6946,39,46,51,44,26,56
TEST,Pfizer,2,3733,42,52,61,54,21,98
TEST,J&J,6,1269,60,61,63,62,59,78
TEST,J&J,4,996,71,74,74,73,70,79
TEST,AstraZeneca,6,431,49,59,61,56,35,75
TEST,Moderna,1,144,22,32,52,38,21,62
TEST,Moderna,2,507,38,60,67,51,19,73
