Datasource,Vax_dose1,Month_vax1,Followup_vax1,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,6,17596,35,50,56,46,15,84
TEST,AstraZeneca,5,10167,62,63,72,65,24,79
TEST,Pfizer,5,23056,55,65,70,62,17,93
TEST,Pfizer,4,15353,76,82,84,78,15,98
TEST,AstraZeneca,4,17473,71,73,75,71,24,79
TEST,Pfizer,1,4557,37,53,64,54,20,95
TEST,Moderna,6,2490,37,38,47,41,18,73
TEST,Pfizer,3,7907,83,87,89,83,22,99
TEST,AstraZeneca,3,15558,50,62,77,62,23,79
TEST,Moderna,5,4604,51,58,64,55,19,79
TEST,J&J,5,1568,60,62,66,63,59,70
TEST,Moderna,3,1741,55,64,73,62,28,83
TEST,Moderna,4,2449,55,67,73,63,23,82
TEST,Pfizer,2,4025,42,52,61,54,21,98
TEST,AstraZeneca,2,7764,38,46,50,43,24,56
TEST,J&J,6,1409,60,61,62,62,55,78
TEST,J&J,4,1192,71,74,74,73,70,79
TEST,AstraZeneca,6,448,50,59,62,57,35,79
TEST,Moderna,2,686,28,46,63,47,18,73
TEST,Moderna,1,144,22,32,52,38,21,62
