Datasource,Vax_dose2,Month_vax2,Followup_vax2,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,6,1739,54,64,69,61,17,82
TEST,AstraZeneca,6,2036,71,75,78,72,23,80
TEST,Pfizer,1,6530,43,55,64,56,20,93
TEST,Pfizer,2,8443,42,51,62,52,21,95
TEST,Pfizer,3,15294,46,62,89,66,21,99
TEST,Pfizer,4,20107,83,85,87,84,34,99
TEST,Pfizer,5,20036,70,78,82,74,27,98
TEST,Moderna,4,3618,52,64,72,61,28,83
TEST,Moderna,6,1228,44,57,66,53,19,77
TEST,Moderna,5,2584,58,68,73,65,26,82
TEST,AstraZeneca,5,4352,41,47,53,46,24,64
TEST,Moderna,2,607,23,32,52,38,21,62
TEST,Moderna,3,962,40,60,63,51,19,73
