sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible
0,50-59,2020,229023,229023,229023,229023,229023,229023,229023,229023,229023,229023,229023,0,0,0,0,0,0,0,0,0,0,0,0,588.31,0,0,588.31,0,0,588.31,0,0,588.31,0,0,588.31,0,0,588.31,0,0,588.31,0,0,588.31,0,0,588.31,0,0,588.31
1,18-24,2020,75904,75904,75904,75904,75904,75904,75904,75904,75904,75904,75904,0,0,0,0,0,0,0,0,0,0,0,0,1775.09,0,0,1775.09,0,0,1775.09,0,0,1775.09,0,0,1775.09,0,0,1775.09,0,0,1775.09,0,0,1775.09,0,0,1775.09,0,0,1775.09
1,18-24,2021,31703,31703,31703,31703,31703,31703,31703,31703,31703,31703,31703,0,0,0,0,0,0,0,0,0,0,0,0,4249.95,0,0,4249.95,0,0,4249.95,0,0,4249.95,0,0,4249.95,0,0,4249.95,0,0,4249.95,0,0,4249.95,0,0,4249.95,0,0,4249.95
0,70-79,2020,158749,158749,158749,158749,158749,158749,158749,158421,158749,158749,158749,0,0,0,0,0,0,1,0,0,0,0,0,848.74,0,0,848.74,0,0,848.74,0,0,848.74,0,0,848.74,0,0,848.74,230.56,5.84,1284.58,0,0,848.74,0,0,848.74,0,0,848.74
0,70-79,2021,48358,48358,48358,48358,48318,48358,48318,48232,48358,48358,48358,0,0,0,1,0,1,0,0,0,0,0,0,2786.23,0,0,2786.23,0,0,2786.23,755.93,19.14,4211.77,0,0,2786.23,755.93,19.14,4211.77,0,0,2793.5,0,0,2786.23,0,0,2786.23,0,0,2786.23
0,0-4,2020,14081,14081,14081,14081,14081,14081,14081,14081,14081,14081,14081,0,0,0,0,0,0,0,0,0,0,0,0,9568.66,0,0,9568.66,0,0,9568.66,0,0,9568.66,0,0,9568.66,0,0,9568.66,0,0,9568.66,0,0,9568.66,0,0,9568.66,0,0,9568.66
0,0-4,2021,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,0,0,0,0,0,0,0,0,0,0,0,0,22969.03,0,0,22969.03,0,0,22969.03,0,0,22969.03,0,0,22969.03,0,0,22969.03,0,0,22969.03,0,0,22969.03,0,0,22969.03,0,0,22969.03
0,50-59,2021,82984,82984,82984,82984,82984,82984,82984,82984,82984,82984,82984,0,0,0,0,0,0,0,0,0,0,0,0,1623.64,0,0,1623.64,0,0,1623.64,0,0,1623.64,0,0,1623.64,0,0,1623.64,0,0,1623.64,0,0,1623.64,0,0,1623.64,0,0,1623.64
1,70-79,2020,127710,127710,127710,127710,127659,127710,127659,127344,127710,127710,127710,0,0,0,2,0,2,0,0,0,0,0,0,1055.02,0,0,1055.02,0,0,1055.02,572.23,69.3,2067.08,0,0,1055.02,572.23,69.3,2067.08,0,0,1058.05,0,0,1055.02,0,0,1055.02,0,0,1055.02
1,70-79,2021,37751,37751,37751,37751,37751,37751,37751,37624,37751,37751,37751,0,0,0,0,0,0,0,0,0,0,0,0,3569.08,0,0,3569.08,0,0,3569.08,0,0,3569.08,0,0,3569.08,0,0,3569.08,0,0,3581.13,0,0,3569.08,0,0,3569.08,0,0,3569.08
1,25-29,2020,57650,57650,57650,57650,57650,57650,57650,57650,57650,57650,57650,0,0,0,0,0,0,0,0,0,0,0,0,2337.14,0,0,2337.14,0,0,2337.14,0,0,2337.14,0,0,2337.14,0,0,2337.14,0,0,2337.14,0,0,2337.14,0,0,2337.14,0,0,2337.14
1,25-29,2021,23770,23770,23770,23770,23770,23770,23770,23770,23770,23770,23770,0,0,0,0,0,0,0,0,0,0,0,0,5668.33,0,0,5668.33,0,0,5668.33,0,0,5668.33,0,0,5668.33,0,0,5668.33,0,0,5668.33,0,0,5668.33,0,0,5668.33,0,0,5668.33
0,40-49,2020,212699,212699,212699,212699,212699,212699,212699,212699,212699,212699,212699,0,0,0,0,0,0,0,0,0,0,0,0,633.46,0,0,633.46,0,0,633.46,0,0,633.46,0,0,633.46,0,0,633.46,0,0,633.46,0,0,633.46,0,0,633.46,0,0,633.46
0,40-49,2021,80448,80448,80448,80448,80448,80448,80448,80448,80448,80448,80448,0,0,0,0,0,0,0,0,0,0,0,0,1674.83,0,0,1674.83,0,0,1674.83,0,0,1674.83,0,0,1674.83,0,0,1674.83,0,0,1674.83,0,0,1674.83,0,0,1674.83,0,0,1674.83
0,60-69,2020,182242,182242,182242,182242,182242,182242,182242,182242,182242,182242,182242,0,0,0,0,0,0,0,0,0,0,0,0,739.33,0,0,739.33,0,0,739.33,0,0,739.33,0,0,739.33,0,0,739.33,0,0,739.33,0,0,739.33,0,0,739.33,0,0,739.33
