sex,agebands_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,50-59,2020,229023,229023,229023,229023,229023,229023,229023,229023,229023,229023,229023,229023,229023,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,2020,115393,115393,115393,115393,115393,115393,115393,115393,115393,115393,115393,115393,115393,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,2021,47544,47544,47544,47544,47544,47544,47544,47544,47544,47544,47544,47544,47544,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020,158749,158749,158749,158749,158749,158749,158749,158749,158749,158421,158749,158749,158749,0,0,0,0,0,0,0,0,1,0,0,0
0,70-79,2021,48358,48358,48358,48358,48358,48358,48358,48358,48358,48232,48358,48358,48358,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020,14081,14081,14081,14081,14081,14081,14081,14081,14081,14081,14081,14081,14081,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,5866,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021,82984,82984,82984,82984,82984,82984,82984,82984,82984,82984,82984,82984,82984,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020,127710,127710,127710,127710,127710,127710,127710,127710,127710,127344,127710,127710,127710,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021,37751,37751,37751,37751,37751,37751,37751,37751,37751,37624,37751,37751,37751,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020,212699,212699,212699,212699,212699,212699,212699,212699,212699,212699,212699,212699,212699,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021,80448,80448,80448,80448,80448,80448,80448,80448,80448,80448,80448,80448,80448,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020,182242,182242,182242,182242,182242,182242,182242,182242,182242,182242,182242,182242,182242,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2021,63847,63847,63847,63847,63847,63847,63847,63847,63847,63847,63847,63847,63847,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2020,168696,168696,168696,168696,168696,168696,168696,168696,168696,168696,168696,168696,168696,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2021,59266,59266,59266,59266,59266,59266,59266,59266,59266,59266,59266,59266,59266,0,0,0,0,0,0,0,0,0,0,0,0
