Event,Vaccination,Cases-IT-ARS,IR-IT-ARS,lb-IT-ARS,ub-IT-ARS
AKI,Pre-vaccination,16,230.26,131.61,373.93
AKI,Post-vaccination,1,307.15,7.78,1711.31
AKI,Pfizer dose 1,1,705.37,17.86,3930.1
AKI,Pfizer dose 2,0,0,0,4883.52
AKI,Moderna dose 1,0,0,0,14731.72
AKI,Moderna dose 2,0,0,0,30209.94
AKI,AstraZeneca dose 1,0,0,0,7295.27
AKI,AstraZeneca dose 2,0,0,0,27508.44
AKI,J&J dose 1,0,0,0,52365.46
ALI,Pre-vaccination,1,14.36,0.36,80.01
ALI,Post-vaccination,0,0,0,1126.35
ALI,Pfizer dose 1,0,0,0,2586.31
ALI,Pfizer dose 2,0,0,0,4834.46
ALI,Moderna dose 1,0,0,0,14645.25
ALI,Moderna dose 2,0,0,0,29835.32
ALI,AstraZeneca dose 1,0,0,0,7295.27
ALI,AstraZeneca dose 2,0,0,0,27508.44
ALI,J&J dose 1,0,0,0,52365.46
ARD,Pre-vaccination,1,14.36,0.36,80.01
ARD,Post-vaccination,0,0,0,1126.61
ARD,Pfizer dose 1,0,0,0,2587.7
ARD,Pfizer dose 2,0,0,0,4834.46
ARD,Moderna dose 1,0,0,0,14645.25
ARD,Moderna dose 2,0,0,0,29835.32
ARD,AstraZeneca dose 1,0,0,0,7295.27
ARD,AstraZeneca dose 2,0,0,0,27508.44
ARD,J&J dose 1,0,0,0,52365.46
ARR,Pre-vaccination,46,666.81,488.19,889.43
ARR,Post-vaccination,4,1253.81,341.62,3210.25
ARR,Pfizer dose 1,4,2878.36,784.26,7369.76
ARR,Pfizer dose 2,0,0,0,5040.07
ARR,Moderna dose 1,0,0,0,14980.69
ARR,Moderna dose 2,0,0,0,30988.11
ARR,AstraZeneca dose 1,0,0,0,7373.52
ARR,AstraZeneca dose 2,0,0,0,27803.62
ARR,J&J dose 1,0,0,0,52365.46
ArterialNoTP,Pre-vaccination,23,331.73,210.29,497.75
ArterialNoTP,Post-vaccination,3,929.02,191.59,2714.99
ArterialNoTP,Pfizer dose 1,2,1424.17,172.47,5144.6
ArterialNoTP,Pfizer dose 2,1,1338.89,33.9,7459.83
ArterialNoTP,Moderna dose 1,0,0,0,14820.85
ArterialNoTP,Moderna dose 2,0,0,0,30594.08
ArterialNoTP,AstraZeneca dose 1,0,0,0,7310.31
ArterialNoTP,AstraZeneca dose 2,0,0,0,27559.08
ArterialNoTP,J&J dose 1,0,0,0,52651.94
ArterialVTENoTP,Pre-vaccination,28,404.39,268.72,584.46
ArterialVTENoTP,Post-vaccination,3,932.35,192.27,2724.71
ArterialVTENoTP,Pfizer dose 1,2,1429.66,173.14,5164.43
ArterialVTENoTP,Pfizer dose 2,1,1347.19,34.11,7506.06
ArterialVTENoTP,Moderna dose 1,0,0,0,14866.64
ArterialVTENoTP,Moderna dose 2,0,0,0,30594.08
ArterialVTENoTP,AstraZeneca dose 1,0,0,0,7321.43
ArterialVTENoTP,AstraZeneca dose 2,0,0,0,27559.08
ArterialVTENoTP,J&J dose 1,0,0,0,52651.94
BP,Pre-vaccination,1,14.36,0.36,80.01
BP,Post-vaccination,0,0,0,1126.71
BP,Pfizer dose 1,0,0,0,2586.31
BP,Pfizer dose 2,0,0,0,4834.46
BP,Moderna dose 1,0,0,0,14645.25
BP,Moderna dose 2,0,0,0,29835.32
BP,AstraZeneca dose 1,0,0,0,7306.35
BP,AstraZeneca dose 2,0,0,0,27564.71
BP,J&J dose 1,0,0,0,52365.46
CAD,Pre-vaccination,14,201.64,110.24,338.32
CAD,Post-vaccination,3,925.78,190.92,2705.51
CAD,Pfizer dose 1,2,1417.35,171.65,5119.94
CAD,Pfizer dose 2,1,1330.8,33.69,7414.72
CAD,Moderna dose 1,0,0,0,14820.85
CAD,Moderna dose 2,0,0,0,30594.08
CAD,AstraZeneca dose 1,0,0,0,7310.31
CAD,AstraZeneca dose 2,0,0,0,27559.08
CAD,J&J dose 1,0,0,0,52651.94
CONTRDIVERTIC,Pre-vaccination,0,0,0,52.97
CONTRDIVERTIC,Post-vaccination,0,0,0,1126.35
CONTRDIVERTIC,Pfizer dose 1,0,0,0,2586.31
CONTRDIVERTIC,Pfizer dose 2,0,0,0,4834.46
CONTRDIVERTIC,Moderna dose 1,0,0,0,14645.25
CONTRDIVERTIC,Moderna dose 2,0,0,0,29835.32
CONTRDIVERTIC,AstraZeneca dose 1,0,0,0,7295.27
CONTRDIVERTIC,AstraZeneca dose 2,0,0,0,27508.44
CONTRDIVERTIC,J&J dose 1,0,0,0,52365.46
CONTRHYPERT,Pre-vaccination,393,6723.38,6075.01,7422.11
CONTRHYPERT,Post-vaccination,68,37012.7,28741.81,46922.41
CONTRHYPERT,Pfizer dose 1,28,33572.98,22309,48522.3
CONTRHYPERT,Pfizer dose 2,13,42834.91,22807.79,73249
CONTRHYPERT,Moderna dose 1,7,41893.33,16843.29,86316.27
CONTRHYPERT,Moderna dose 2,4,59975.37,16341.27,153560.77
CONTRHYPERT,AstraZeneca dose 1,14,44314.93,24227.39,74352.93
CONTRHYPERT,AstraZeneca dose 2,1,10140.2,256.73,56497.58
CONTRHYPERT,J&J dose 1,1,19459.24,492.67,108419.97
CVSTNoTP,Pre-vaccination,0,0,0,52.98
CVSTNoTP,Post-vaccination,0,0,0,1126.38
CVSTNoTP,Pfizer dose 1,0,0,0,2586.46
CVSTNoTP,Pfizer dose 2,0,0,0,4834.46
CVSTNoTP,Moderna dose 1,0,0,0,14645.25
CVSTNoTP,Moderna dose 2,0,0,0,29835.32
CVSTNoTP,AstraZeneca dose 1,0,0,0,7295.27
CVSTNoTP,AstraZeneca dose 2,0,0,0,27508.44
