 ,Parameters,Test,perc_Test
"","",N,%
Study population,N,7255,""
Person years of follow-up,PY,10139,""
Age in years,Min,1,""
Age in years,P25,34,""
Age in years,P50,51,""
Age in years,Mean,50,""
Age in years,P75,68,""
Age in years,Max,102,""
Age in categories,0-4,107,1.5%
Age in categories,5-11,309,4.3%
Age in categories,12-17,361,5%
Age in categories,18-24,395,5.4%
Age in categories,25-29,356,4.9%
Age in categories,30-39,779,10.7%
Age in categories,40-49,1195,16.5%
Age in categories,50-59,1262,17.4%
Age in categories,60-69,960,13.2%
Age in categories,70-79,811,11.2%
Age in categories,80+,720,9.9%
Person years across age categories,0-4,106,1%
Person years across age categories,5-11,392,3.9%
Person years across age categories,12-17,493,4.9%
Person years across age categories,18-24,544,5.4%
Person years across age categories,25-29,438,4.3%
Person years across age categories,30-39,1005,9.9%
Person years across age categories,40-49,1550,15.3%
Person years across age categories,50-59,1694,16.7%
Person years across age categories,60-69,1298,12.8%
Person years across age categories,70-79,1020,10.1%
Person years across age categories,80+,927,9.1%
Person years across sex,Male,3754,51.7%
Person years across sex,Female,3501,48.3%
At risk population at January 1-2020,Cardiovascular disease,1105,15.2%
At risk population at January 1-2020,Cancer,167,2.3%
At risk population at January 1-2020,Chronic lung disease,368,5.1%
At risk population at January 1-2020,HIV,24,0.3%
At risk population at January 1-2020,Chronic kidney disease,45,0.6%
At risk population at January 1-2020,Diabetes,435,6%
At risk population at January 1-2020,Severe obesity,17,0.2%
At risk population at January 1-2020,Sickle cell disease,9,0.1%
At risk population at January 1-2020,Use of immunosuppressants,356,4.9%
