DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage,dose
TEST,AstraZeneca,2020,50,0,0,26532,0,1
TEST,AstraZeneca,2020,50,0,0,26532,0,2
TEST,J&J,2020,50,0,0,26532,0,1
TEST,J&J,2020,50,0,0,26532,0,2
TEST,Moderna,2020,50,0,0,26532,0,1
TEST,Moderna,2020,50,0,0,26532,0,2
TEST,Pfizer,2020,50,0,0,26532,0,1
TEST,Pfizer,2020,50,0,0,26532,0,2
TEST,UKN,2020,50,0,0,26532,0,1
TEST,UKN,2020,50,0,0,26532,0,2
TEST,AstraZeneca,2020,51,0,0,26468,0,1
TEST,AstraZeneca,2020,51,0,0,26468,0,2
TEST,J&J,2020,51,0,0,26468,0,1
TEST,J&J,2020,51,0,0,26468,0,2
TEST,Moderna,2020,51,0,0,26468,0,1
TEST,Moderna,2020,51,0,0,26468,0,2
TEST,Pfizer,2020,51,0,0,26468,0,1
TEST,Pfizer,2020,51,0,0,26468,0,2
TEST,UKN,2020,51,0,0,26468,0,1
TEST,UKN,2020,51,0,0,26468,0,2
TEST,AstraZeneca,2020,52,0,0,30433,0,1
TEST,AstraZeneca,2020,52,0,0,30433,0,2
TEST,J&J,2020,52,0,0,30433,0,1
TEST,J&J,2020,52,0,0,30433,0,2
TEST,Moderna,2020,52,0,0,30433,0,1
TEST,Moderna,2020,52,0,0,30433,0,2
TEST,Pfizer,2020,52,5,5,30433,0.016,1
TEST,Pfizer,2020,52,5,0,30433,0,2
TEST,UKN,2020,52,0,0,30433,0,1
TEST,UKN,2020,52,0,0,30433,0,2
TEST,AstraZeneca,2021,1,0,0,40582,0,1
TEST,AstraZeneca,2021,1,0,0,40582,0,2
TEST,J&J,2021,1,0,0,40582,0,1
TEST,J&J,2021,1,0,0,40582,0,2
TEST,Moderna,2021,1,0,0,40582,0,1
TEST,Moderna,2021,1,0,0,40582,0,2
TEST,Pfizer,2021,1,54,54,40582,0.133,1
TEST,Pfizer,2021,1,54,0,40582,0,2
TEST,UKN,2021,1,0,0,40582,0,1
TEST,UKN,2021,1,0,0,40582,0,2
TEST,AstraZeneca,2021,2,0,0,43456,0,1
TEST,AstraZeneca,2021,2,0,0,43456,0,2
TEST,J&J,2021,2,0,0,43456,0,1
TEST,J&J,2021,2,0,0,43456,0,2
TEST,Moderna,2021,2,0,0,43456,0,1
TEST,Moderna,2021,2,0,0,43456,0,2
TEST,Pfizer,2021,2,93,93,43456,0.214,1
TEST,Pfizer,2021,2,93,0,43456,0,2
TEST,UKN,2021,2,0,0,43456,0,1
TEST,UKN,2021,2,0,0,43456,0,2
TEST,AstraZeneca,2021,3,0,0,49248,0,1
TEST,AstraZeneca,2021,3,0,0,49248,0,2
TEST,J&J,2021,3,0,0,49248,0,1
TEST,J&J,2021,3,0,0,49248,0,2
TEST,Moderna,2021,3,5,5,49248,0.01,1
TEST,Moderna,2021,3,5,0,49248,0,2
TEST,Pfizer,2021,3,112,110,49248,0.223,1
TEST,Pfizer,2021,3,112,2,49248,0.004,2
TEST,UKN,2021,3,0,0,49248,0,1
TEST,UKN,2021,3,0,0,49248,0,2
TEST,AstraZeneca,2021,4,0,0,60585,0,1
TEST,AstraZeneca,2021,4,0,0,60585,0,2
TEST,J&J,2021,4,0,0,60585,0,1
TEST,J&J,2021,4,0,0,60585,0,2
