DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow
TEST,AKI_narrow,12-17,Female,366,0,0,368132.03
TEST,AKI_narrow,12-17,Male,1830,0,0,73626.41
TEST,AKI_narrow,18-24,Female,2196,0,0,61355.34
TEST,AKI_narrow,18-24,Male,3294,0,0,40903.56
TEST,AKI_narrow,25-29,Female,366,0,0,368132.03
TEST,AKI_narrow,25-29,Male,1098,0,0,122710.68
TEST,AKI_narrow,30-39,Female,5490,0,0,24542.14
TEST,AKI_narrow,30-39,Male,2562,0,0,52590.29
TEST,AKI_narrow,40-49,Female,9150,0,0,14725.28
TEST,AKI_narrow,40-49,Male,11346,0,0,11875.23
TEST,AKI_narrow,50-59,Female,29280,0,0,4601.65
TEST,AKI_narrow,50-59,Male,22326,0,0,6034.95
TEST,AKI_narrow,60-69,Female,38064,0,0,3539.73
TEST,AKI_narrow,60-69,Male,48006,760.84,19.26,4239.14
TEST,AKI_narrow,70-79,Female,73932,0,0,1822.44
TEST,AKI_narrow,70-79,Male,64872,1126.06,136.37,4067.73
TEST,AKI_narrow,80+,Female,80478,1815.4,494.64,4648.15
TEST,AKI_narrow,80+,Male,51526,1417.73,171.69,5121.33
TEST,AKI_narrow,0-59,Female,46848,0,0,2876.03
TEST,AKI_narrow,0-59,Male,42456,0,0,3173.55
TEST,AKI_narrow,60+,Female,192474,759.06,206.82,1943.5
TEST,AKI_narrow,60+,Male,164404,1110.83,360.68,2592.31
TEST,ALI_narrow,12-17,Female,366,0,0,368132.03
TEST,ALI_narrow,12-17,Male,1830,0,0,73626.41
TEST,ALI_narrow,18-24,Female,2196,0,0,61355.34
TEST,ALI_narrow,18-24,Male,3294,0,0,40903.56
TEST,ALI_narrow,25-29,Female,366,0,0,368132.03
TEST,ALI_narrow,25-29,Male,1098,0,0,122710.68
TEST,ALI_narrow,30-39,Female,5490,0,0,24542.14
TEST,ALI_narrow,30-39,Male,2562,0,0,52590.29
TEST,ALI_narrow,40-49,Female,9150,0,0,14725.28
TEST,ALI_narrow,40-49,Male,11346,0,0,11875.23
TEST,ALI_narrow,50-59,Female,29646,0,0,4544.84
TEST,ALI_narrow,50-59,Male,22326,0,0,6034.95
TEST,ALI_narrow,60-69,Female,38064,0,0,3539.73
TEST,ALI_narrow,60-69,Male,48312,0,0,2788.88
TEST,ALI_narrow,70-79,Female,73932,0,0,1822.44
TEST,ALI_narrow,70-79,Male,65148,0,0,2068.16
TEST,ALI_narrow,80+,Female,81618,0,0,1650.82
TEST,ALI_narrow,80+,Male,51972,0,0,2592.48
TEST,ALI_narrow,0-59,Female,47214,0,0,2853.74
TEST,ALI_narrow,0-59,Male,42456,0,0,3173.55
TEST,ALI_narrow,60+,Female,193614,0,0,695.9
TEST,ALI_narrow,60+,Male,165432,0,0,814.45
TEST,ARD_narrow,12-17,Female,366,0,0,368132.03
TEST,ARD_narrow,12-17,Male,1830,0,0,73626.41
TEST,ARD_narrow,18-24,Female,2196,0,0,61355.34
TEST,ARD_narrow,18-24,Male,3294,0,0,40903.56
TEST,ARD_narrow,25-29,Female,366,0,0,368132.03
TEST,ARD_narrow,25-29,Male,1098,0,0,122710.68
TEST,ARD_narrow,30-39,Female,5490,0,0,24542.14
TEST,ARD_narrow,30-39,Male,2562,0,0,52590.29
TEST,ARD_narrow,40-49,Female,9150,0,0,14725.28
TEST,ARD_narrow,40-49,Male,11346,0,0,11875.23
TEST,ARD_narrow,50-59,Female,29646,0,0,4544.84
TEST,ARD_narrow,50-59,Male,22326,0,0,6034.95
TEST,ARD_narrow,60-69,Female,38064,0,0,3539.73
TEST,ARD_narrow,60-69,Male,48312,0,0,2788.88
TEST,ARD_narrow,70-79,Female,73932,0,0,1822.44
TEST,ARD_narrow,70-79,Male,65148,0,0,2068.16
TEST,ARD_narrow,80+,Female,81618,0,0,1650.82
TEST,ARD_narrow,80+,Male,51972,0,0,2592.48
TEST,ARD_narrow,0-59,Female,47214,0,0,2853.74
TEST,ARD_narrow,0-59,Male,42456,0,0,3173.55
TEST,ARD_narrow,60+,Female,193614,0,0,695.9
TEST,ARD_narrow,60+,Male,165432,0,0,814.45
TEST,ARR_narrow,12-17,Female,366,0,0,368132.03
TEST,ARR_narrow,12-17,Male,1830,0,0,73626.41
TEST,ARR_narrow,18-24,Female,2196,0,0,61355.34
TEST,ARR_narrow,18-24,Male,3294,0,0,40903.56
TEST,ARR_narrow,25-29,Female,366,0,0,368132.03
TEST,ARR_narrow,25-29,Male,1098,0,0,122710.68
TEST,ARR_narrow,30-39,Female,5490,0,0,24542.14
TEST,ARR_narrow,30-39,Male,2562,0,0,52590.29
TEST,ARR_narrow,40-49,Female,9150,0,0,14725.28
TEST,ARR_narrow,40-49,Male,10980,0,0,12271.07
TEST,ARR_narrow,50-59,Female,29056,1257.06,31.83,7003.86
TEST,ARR_narrow,50-59,Male,21960,0,0,6135.53
TEST,ARR_narrow,60-69,Female,37698,0,0,3574.1
TEST,ARR_narrow,60-69,Male,46472,1571.91,190.37,5678.29
TEST,ARR_narrow,70-79,Female,73839,989.31,119.81,3573.74
TEST,ARR_narrow,70-79,Male,61369,3571.02,1310.5,7772.61
TEST,ARR_narrow,80+,Female,77251,2364.05,767.6,5516.9
