DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,AKI_narrow,0-59,Female,0,0,0,387.51,total
TEST,AKI_narrow,0-59,Male,1,119.41,3.02,665.3,total
TEST,AKI_narrow,12-17,Female,0,0,0,10827.41,total
TEST,AKI_narrow,12-17,Male,0,0,0,16733.27,total
TEST,AKI_narrow,18-24,Female,0,0,0,6458.46,total
TEST,AKI_narrow,18-24,Male,0,0,0,6239.53,total
TEST,AKI_narrow,25-29,Female,0,0,0,8002.87,total
TEST,AKI_narrow,25-29,Male,0,0,0,7832.6,total
TEST,AKI_narrow,30-39,Female,0,0,0,2421.92,total
TEST,AKI_narrow,30-39,Male,0,0,0,2898.68,total
TEST,AKI_narrow,40-49,Female,0,0,0,1449.34,total
TEST,AKI_narrow,40-49,Male,1,469.08,11.88,2613.52,total
TEST,AKI_narrow,50-59,Female,0,0,0,904.5,total
TEST,AKI_narrow,50-59,Male,0,0,0,1000.36,total
TEST,AKI_narrow,60+,Female,4,392.55,106.96,1005.09,total
TEST,AKI_narrow,60+,Male,5,589.67,191.46,1376.1,total
TEST,AKI_narrow,60-69,Female,0,0,0,1070.15,total
TEST,AKI_narrow,60-69,Male,1,295.98,7.49,1649.12,total
TEST,AKI_narrow,70-79,Female,0,0,0,1022.59,total
TEST,AKI_narrow,70-79,Male,2,669.21,81.04,2417.43,total
TEST,AKI_narrow,80+,Female,4,1275.8,347.61,3266.57,total
TEST,AKI_narrow,80+,Male,2,946.91,114.67,3420.55,total
TEST,ALI_narrow,0-59,Female,0,0,0,387.1,total
TEST,ALI_narrow,0-59,Male,0,0,0,440.35,total
TEST,ALI_narrow,12-17,Female,0,0,0,10827.41,total
TEST,ALI_narrow,12-17,Male,0,0,0,16733.27,total
TEST,ALI_narrow,18-24,Female,0,0,0,6458.46,total
TEST,ALI_narrow,18-24,Male,0,0,0,6239.53,total
TEST,ALI_narrow,25-29,Female,0,0,0,8002.87,total
TEST,ALI_narrow,25-29,Male,0,0,0,7832.6,total
TEST,ALI_narrow,30-39,Female,0,0,0,2421.92,total
TEST,ALI_narrow,30-39,Male,0,0,0,2898.68,total
TEST,ALI_narrow,40-49,Female,0,0,0,1449.34,total
