DAP,AESI,Vaccine & dose,Days since vaccination,Ageband,Sex,Cases,Person days,IR narrow,LL narrow,UL narrow,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_DEATH,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_DEATH,lb_DEATH,ub_DEATH
TEST,ADEM_broad,AstraZeneca dose 1,0-6,0-59,Female,0,955,0,0,141085.15,955,878,955,0,0,0,0,0,141085.15,0,0,153458.23,0,0,141085.15
TEST,ADEM_broad,AstraZeneca dose 1,0-6,60+,Female,0,1772,0,0,76036.3,1772,895,1772,0,1,0,0,0,76036.3,40810.06,1033.22,227379.08,0,0,76036.3
TEST,ADEM_broad,AstraZeneca dose 1,0-6,0-59,Male,0,588,0,0,229143.4,588,505,588,0,1,0,0,0,229143.4,72326.73,1831.15,402978.76,0,0,229143.4
TEST,ADEM_broad,AstraZeneca dose 1,0-6,60+,Male,0,1330,0,0,101305.51,1330,665,1330,0,1,0,0,0,101305.51,54924.81,1390.58,306021.47,0,0,101305.51
TEST,ADEM_broad,AstraZeneca dose 1,7-13,0-59,Female,0,949,0,0,141977.16,949,866,949,0,1,0,0,0,141977.16,42176.67,1067.82,234993.39,0,0,141977.16
TEST,ADEM_broad,AstraZeneca dose 1,7-13,60+,Female,0,1762,0,0,76467.83,1762,884,1762,0,1,0,0,0,76467.83,41317.87,1046.08,230208.46,0,0,76467.83
TEST,ADEM_broad,AstraZeneca dose 1,7-13,0-59,Male,0,584,0,0,230712.88,584,496,584,0,2,0,0,0,230712.88,147278.23,17836.08,532019.59,0,0,230712.88
TEST,ADEM_broad,AstraZeneca dose 1,7-13,60+,Male,0,1326,0,0,101611.1,1326,658,1326,0,0,0,0,0,101611.1,0,0,204766.45,0,0,101611.1
TEST,ADEM_broad,AstraZeneca dose 1,14-20,0-59,Female,0,946,0,0,142427.4,946,862,946,0,0,0,0,0,142427.4,0,0,156306.64,0,0,142427.4
TEST,ADEM_broad,AstraZeneca dose 1,14-20,60+,Female,0,1757,0,0,76685.44,1757,865,1757,0,2,0,0,0,76685.44,84450.87,10227.39,305065.57,0,0,76685.44
TEST,ADEM_broad,AstraZeneca dose 1,14-20,0-59,Male,0,581,0,0,231904.17,581,483,581,0,0,0,0,0,231904.17,0,0,278957.19,0,0,231904.17
TEST,ADEM_broad,AstraZeneca dose 1,14-20,60+,Male,0,1323,0,0,101841.51,1323,653,1323,0,1,0,0,0,101841.51,55934.15,1416.13,311645.14,0,0,101841.51
TEST,ADEM_broad,AstraZeneca dose 1,21-27,0-59,Female,0,941,0,0,143184.19,941,856,941,0,0,0,0,0,143184.19,0,0,157402.25,0,0,143184.19
TEST,ADEM_broad,AstraZeneca dose 1,21-27,60+,Female,0,1753,0,0,76860.42,1753,846,1753,0,3,0,0,0,76860.42,129521.28,26710.4,378516.13,0,0,76860.42
TEST,ADEM_broad,AstraZeneca dose 1,21-27,0-59,Male,0,579,0,0,232705.22,579,481,579,0,0,0,0,0,232705.22,0,0,280117.09,0,0,232705.22
TEST,ADEM_broad,AstraZeneca dose 1,21-27,60+,Male,0,1323,0,0,101841.51,1323,646,1323,0,1,0,0,0,101841.51,56540.25,1431.48,315022.1,0,0,101841.51
TEST,ADEM_broad,AstraZeneca dose 1,28-34,0-59,Female,0,897,0,0,150207.72,897,818,897,0,1,0,0,0,150207.72,44651.59,1130.48,248782.73,0,0,150207.72
TEST,ADEM_broad,AstraZeneca dose 1,28-34,60+,Female,0,1729,0,0,77927.31,1729,819,1729,0,2,0,0,0,77927.31,89194.14,10801.82,322199.9,0,0,77927.31
TEST,ADEM_broad,AstraZeneca dose 1,28-34,0-59,Male,0,533,0,0,252788.6,533,437,533,0,1,0,0,0,252788.6,83581.24,2116.09,465684.84,0,0,252788.6
TEST,ADEM_broad,AstraZeneca dose 1,28-34,60+,Male,0,1299,0,0,103723.11,1299,625,1299,0,0,0,0,0,103723.11,0,0,215578.12,0,0,103723.11
TEST,ADEM_broad,AstraZeneca dose 1,35-41,0-59,Female,0,824,0,0,163514.95,824,747,824,0,0,0,0,0,163514.95,0,0,180369.91,0,0,163514.95
TEST,ADEM_broad,AstraZeneca dose 1,35-41,60+,Female,0,1702,0,0,79163.53,1702,787,1702,0,0,0,0,0,79163.53,0,0,171202.44,0,0,79163.53
TEST,ADEM_broad,AstraZeneca dose 1,35-41,0-59,Male,0,481,0,0,280117.09,481,387,481,0,1,0,0,0,280117.09,94379.84,2389.49,525850.84,0,0,280117.09
TEST,ADEM_broad,AstraZeneca dose 1,35-41,60+,Male,0,1251,0,0,107702.9,1251,603,1251,0,2,0,0,0,107702.9,121144.28,14671.13,437614.79,0,0,107702.9
TEST,ADEM_broad,AstraZeneca dose 1,42-48,0-59,Female,0,805,0,0,167374.31,805,730,805,0,0,0,0,0,167374.31,0,0,184570.3,0,0,167374.31
TEST,ADEM_broad,AstraZeneca dose 1,42-48,60+,Female,0,1605,0,0,83947.86,1605,723,1605,0,0,0,0,0,83947.86,0,0,186357.29,0,0,83947.86
TEST,ADEM_broad,AstraZeneca dose 1,42-48,0-59,Male,0,433,0,0,311169.34,433,355,433,0,0,0,0,0,311169.34,0,0,379538.94,0,0,311169.34
TEST,ADEM_broad,AstraZeneca dose 1,42-48,60+,Male,0,1183,0,0,113893.76,1183,545,1183,0,4,0,0,0,113893.76,268073.39,73040.98,686374.36,0,0,113893.76
TEST,ADEM_broad,AstraZeneca dose 1,49-55,0-59,Female,0,777,0,0,173405.82,777,707,777,0,0,0,0,0,173405.82,0,0,190574.71,0,0,173405.82
TEST,ADEM_broad,AstraZeneca dose 1,49-55,60+,Female,0,1443,0,0,93372.36,1443,622,1443,0,1,0,0,0,93372.36,58721.86,1486.71,327177.29,0,0,93372.36
TEST,ADEM_broad,AstraZeneca dose 1,49-55,0-59,Male,0,406,0,0,331862.86,406,343,406,0,0,0,0,0,331862.86,0,0,392817.27,0,0,331862.86
TEST,ADEM_broad,AstraZeneca dose 1,49-55,60+,Male,0,1010,0,0,133402.3,1010,432,1010,0,0,0,0,0,133402.3,0,0,311889.63,0,0,133402.3
TEST,ADEM_broad,AstraZeneca dose 1,56-62,0-59,Female,0,763,0,0,176587.58,763,693,763,0,0,0,0,0,176587.58,0,0,194424.71,0,0,176587.58
TEST,ADEM_broad,AstraZeneca dose 1,56-62,60+,Female,0,1249,0,0,107875.36,1249,533,1249,0,1,0,0,0,107875.36,68527.2,1734.96,381809.15,0,0,107875.36
TEST,ADEM_broad,AstraZeneca dose 1,56-62,0-59,Male,0,403,0,0,334333.31,403,340,403,0,0,0,0,0,334333.31,0,0,396283.3,0,0,334333.31
TEST,ADEM_broad,AstraZeneca dose 1,56-62,60+,Male,0,895,0,0,150543.38,895,376,895,0,0,0,0,0,150543.38,0,0,358341.28,0,0,150543.38
TEST,ADEM_broad,AstraZeneca dose 1,63-69,0-59,Female,0,757,0,0,177987.22,757,687,757,0,0,0,0,0,177987.22,0,0,196122.74,0,0,177987.22
TEST,ADEM_broad,AstraZeneca dose 1,63-69,60+,Female,0,1079,0,0,124871.48,1079,456,1079,0,0,0,0,0,124871.48,0,0,295474.39,0,0,124871.48
TEST,ADEM_broad,AstraZeneca dose 1,63-69,0-59,Male,0,392,0,0,343715.11,392,326,392,0,1,0,0,0,343715.11,112039.88,2836.6,624246.24,0,0,343715.11
TEST,ADEM_broad,AstraZeneca dose 1,63-69,60+,Male,0,807,0,0,166959.51,807,341,807,0,2,0,0,0,166959.51,214222.87,25943.38,773846.68,0,0,166959.51
TEST,ADEM_broad,AstraZeneca dose 1,70-76,0-59,Female,0,749,0,0,179888.28,749,679,749,0,0,0,0,0,179888.28,0,0,198433.46,0,0,179888.28
TEST,ADEM_broad,AstraZeneca dose 1,70-76,60+,Female,0,969,0,0,139046.77,969,411,969,0,3,0,0,0,139046.77,266605.84,54980.53,779135.4,0,0,139046.77
TEST,ADEM_broad,AstraZeneca dose 1,70-76,0-59,Male,0,385,0,0,349964.47,385,315,385,0,0,0,0,0,349964.47,0,0,427734.36,0,0,349964.47
TEST,ADEM_broad,AstraZeneca dose 1,70-76,60+,Male,0,763,0,0,176587.58,763,312,763,0,0,0,0,0,176587.58,0,0,431847.19,0,0,176587.58
TEST,ADEM_broad,AstraZeneca dose 1,77-83,0-59,Female,0,670,0,0,201098.99,670,600,670,0,0,0,0,0,201098.99,0,0,224560.54,0,0,201098.99
