DAP,AESI,Vaccine & dose,Days since vaccination,Ageband,Sex,Cases,Person days,IR narrow,LL narrow,UL narrow,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_DEATH,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_DEATH,lb_DEATH,ub_DEATH
TEST,ADEM_broad,AstraZeneca dose 1,0-6,0-59,Female,0,955,0,0,141085.15,955,878,955,0,0,0,0,0,141085.15,0,0,153458.23,0,0,141085.15
TEST,ADEM_broad,AstraZeneca dose 1,0-6,60+,Female,0,1772,0,0,76036.3,1772,895,1772,0,1,0,0,0,76036.3,40810.06,1033.22,227379.08,0,0,76036.3
TEST,ADEM_broad,AstraZeneca dose 1,0-6,0-59,Male,0,588,0,0,229143.4,588,505,588,0,1,0,0,0,229143.4,72326.73,1831.15,402978.76,0,0,229143.4
TEST,ADEM_broad,AstraZeneca dose 1,0-6,60+,Male,0,1330,0,0,101305.51,1330,665,1330,0,1,0,0,0,101305.51,54924.81,1390.58,306021.47,0,0,101305.51
TEST,ADEM_broad,AstraZeneca dose 1,7-13,0-59,Female,0,1904,0,0,70764.88,1904,1744,1904,0,1,0,0,0,70764.88,20943.23,530.24,116688.23,0,0,70764.88
TEST,ADEM_broad,AstraZeneca dose 1,7-13,60+,Female,0,3534,0,0,38125.73,3534,1779,3534,0,2,0,0,0,38125.73,41062.39,4972.85,148331.49,0,0,38125.73
TEST,ADEM_broad,AstraZeneca dose 1,7-13,0-59,Male,0,1172,0,0,114962.73,1172,1001,1172,0,3,0,0,0,114962.73,109465.53,22574.42,319904.74,0,0,114962.73
TEST,ADEM_broad,AstraZeneca dose 1,7-13,60+,Male,0,2656,0,0,50729.04,2656,1323,2656,0,1,0,0,0,50729.04,27607.71,698.97,153820.31,0,0,50729.04
TEST,ADEM_broad,AstraZeneca dose 1,14-20,0-59,Female,0,2850,0,0,47275.9,2850,2606,2850,0,1,0,0,0,47275.9,14015.73,354.85,78090.67,0,0,47275.9
TEST,ADEM_broad,AstraZeneca dose 1,14-20,60+,Female,0,5291,0,0,25465.19,5291,2644,5291,0,4,0,0,0,25465.19,55257.19,15055.72,141480.34,0,0,25465.19
TEST,ADEM_broad,AstraZeneca dose 1,14-20,0-59,Male,0,1753,0,0,76860.42,1753,1484,1753,0,3,0,0,0,76860.42,73837.6,15227.09,215784.8,0,0,76860.42
TEST,ADEM_broad,AstraZeneca dose 1,14-20,60+,Male,0,3979,0,0,33861.86,3979,1976,3979,0,2,0,0,0,33861.86,36968.62,4477.07,133543.38,0,0,33861.86
TEST,ADEM_broad,AstraZeneca dose 1,21-27,0-59,Female,0,3791,0,0,35541.1,3791,3462,3791,0,1,0,0,0,35541.1,10550.26,267.11,58782.29,0,0,35541.1
TEST,ADEM_broad,AstraZeneca dose 1,21-27,60+,Female,0,7044,0,0,19127.81,7044,3490,7044,0,7,0,0,0,19127.81,73259.31,29454.04,150942.18,0,0,19127.81
TEST,ADEM_broad,AstraZeneca dose 1,21-27,0-59,Male,0,2332,0,0,57777.15,2332,1965,2332,0,3,0,0,0,57777.15,55763.36,11499.75,162964.2,0,0,57777.15
TEST,ADEM_broad,AstraZeneca dose 1,21-27,60+,Male,0,5302,0,0,25412.36,5302,2622,5302,0,3,0,0,0,25412.36,41790.62,8618.23,122129.92,0,0,25412.36
TEST,ADEM_broad,AstraZeneca dose 1,28-34,0-59,Female,0,4688,0,0,28740.68,4688,4280,4688,0,2,0,0,0,28740.68,17067.76,2066.98,61654.61,0,0,28740.68
TEST,ADEM_broad,AstraZeneca dose 1,28-34,60+,Female,0,8773,0,0,15358.07,8773,4309,8773,0,9,0,0,0,15358.07,76288,34883.73,144818.39,0,0,15358.07
TEST,ADEM_broad,AstraZeneca dose 1,28-34,0-59,Male,0,2865,0,0,47028.38,2865,2402,2865,0,4,0,0,0,47028.38,60824.31,16572.58,155734.4,0,0,47028.38
TEST,ADEM_broad,AstraZeneca dose 1,28-34,60+,Male,0,6601,0,0,20411.5,6601,3247,6601,0,3,0,0,0,20411.5,33746.54,6959.35,98621.7,0,0,20411.5
TEST,ADEM_broad,AstraZeneca dose 1,35-41,0-59,Female,0,5512,0,0,24444.18,5512,5027,5512,0,2,0,0,0,24444.18,14531.53,1759.84,52492.88,0,0,24444.18
TEST,ADEM_broad,AstraZeneca dose 1,35-41,60+,Female,0,10475,0,0,12862.66,10475,5096,10475,0,9,0,0,0,12862.66,64506.48,29496.47,122453.38,0,0,12862.66
TEST,ADEM_broad,AstraZeneca dose 1,35-41,0-59,Male,0,3346,0,0,40267.88,3346,2789,3346,0,5,0,0,0,40267.88,65480.46,21261.33,152809.55,0,0,40267.88
TEST,ADEM_broad,AstraZeneca dose 1,35-41,60+,Male,0,7852,0,0,17159.49,7852,3850,7852,0,5,0,0,0,17159.49,47435.06,15402.04,110697.62,0,0,17159.49
TEST,ADEM_broad,AstraZeneca dose 1,42-48,0-59,Female,0,6317,0,0,21329.16,6317,5757,6317,0,2,0,0,0,21329.16,12688.9,1536.68,45836.67,0,0,21329.16
TEST,ADEM_broad,AstraZeneca dose 1,42-48,60+,Female,0,12080,0,0,11153.67,12080,5819,12080,0,9,0,0,0,11153.67,56491.67,25831.59,107238.78,0,0,11153.67
TEST,ADEM_broad,AstraZeneca dose 1,42-48,0-59,Male,0,3779,0,0,35653.96,3779,3144,3779,0,5,0,0,0,35653.96,58086.83,18860.64,135555.29,0,0,35653.96
TEST,ADEM_broad,AstraZeneca dose 1,42-48,60+,Male,0,9035,0,0,14912.71,9035,4395,9035,0,9,0,0,0,14912.71,74795.22,34201.14,141984.63,0,0,14912.71
TEST,ADEM_broad,AstraZeneca dose 1,49-55,0-59,Female,0,7094,0,0,18993,7094,6464,7094,0,2,0,0,0,18993,11301.05,1368.61,40823.29,0,0,18993
TEST,ADEM_broad,AstraZeneca dose 1,49-55,60+,Female,0,13523,0,0,9963.49,13523,6441,13523,0,10,0,0,0,9963.49,56707.03,27193.23,104286.25,0,0,9963.49
TEST,ADEM_broad,AstraZeneca dose 1,49-55,0-59,Male,0,4185,0,0,32195.06,4185,3487,4185,0,5,0,0,0,32195.06,52373.1,17005.4,122221.34,0,0,32195.06
TEST,ADEM_broad,AstraZeneca dose 1,49-55,60+,Male,0,10045,0,0,13413.27,10045,4827,10045,0,9,0,0,0,13413.27,68101.31,31140.25,129277.49,0,0,13413.27
TEST,ADEM_broad,AstraZeneca dose 1,56-62,0-59,Female,0,7857,0,0,17148.57,7857,7157,7857,0,2,0,0,0,17148.57,10206.79,1236.09,36870.44,0,0,17148.57
TEST,ADEM_broad,AstraZeneca dose 1,56-62,60+,Female,0,14772,0,0,9121.06,14772,6974,14772,0,11,0,0,0,9121.06,57610.41,28758.91,103080.94,0,0,9121.06
TEST,ADEM_broad,AstraZeneca dose 1,56-62,0-59,Male,0,4588,0,0,29367.11,4588,3827,4588,0,5,0,0,0,29367.11,47720.15,15494.6,111362.9,0,0,29367.11
TEST,ADEM_broad,AstraZeneca dose 1,56-62,60+,Male,0,10940,0,0,12315.93,10940,5203,10940,0,9,0,0,0,12315.93,63179.9,28889.87,119935.12,0,0,12315.93
TEST,ADEM_broad,AstraZeneca dose 1,63-69,0-59,Female,0,8614,0,0,15641.55,8614,7844,8614,0,2,0,0,0,15641.55,9312.85,1127.83,33641.22,0,0,15641.55
TEST,ADEM_broad,AstraZeneca dose 1,63-69,60+,Female,0,15851,0,0,8500.18,15851,7430,15851,0,11,0,0,0,8500.18,54074.7,26993.89,96754.57,0,0,8500.18
TEST,ADEM_broad,AstraZeneca dose 1,63-69,0-59,Male,0,4980,0,0,27055.49,4980,4153,4980,0,6,0,0,0,27055.49,52769.08,19365.32,114856.08,0,0,27055.49
TEST,ADEM_broad,AstraZeneca dose 1,63-69,60+,Male,0,11747,0,0,11469.85,11747,5544,11747,0,11,0,0,0,11469.85,72470.24,36176.88,129669.27,0,0,11469.85
TEST,ADEM_broad,AstraZeneca dose 1,70-76,0-59,Female,0,9363,0,0,14390.29,9363,8523,9363,0,2,0,0,0,14390.29,8570.93,1037.98,30961.13,0,0,14390.29
TEST,ADEM_broad,AstraZeneca dose 1,70-76,60+,Female,0,16820,0,0,8010.48,16820,7841,16820,0,14,0,0,0,8010.48,65214.9,35653.59,109419.51,0,0,8010.48
