meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,42613,2
hospitalisation_primary,ICD9,4260,5
hospitalisation_secondary,ICD9,42731,30
hospitalisation_secondary,ICD9,4275,2
hospitalisation_secondary,ICD9,4260,1
hospitalisation_secondary,ICD9,42613,2
hospitalisation_primary,ICD9,42781,2
hospitalisation_primary,ICD9,42731,4
hospitalisation_primary,ICD9,42741,1
exemption,ICD9,427,2
hospitalisation_primary,ICD9,42789,1
hospitalisation_secondary,ICD9,42781,1
