meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,43401,3
hospitalisation_primary,ICD9,41011,1
exemption,ICD9,434,1
hospitalisation_primary,ICD9,41000,1
hospitalisation_primary,ICD9,43400,2
hospitalisation_primary,ICD9,41042,1
hospitalisation_secondary,ICD9,412,2
hospitalisation_primary,ICD9,41050,1
hospitalisation_primary,ICD9,41071,5
hospitalisation_secondary,ICD9,41090,1
hospitalisation_primary,ICD9,43411,3
hospitalisation_primary,ICD9,41041,1
hospitalisation_secondary,ICD9,43401,1
hospitalisation_primary,ICD9,43491,1
hospitalisation_secondary,ICD9,43411,1
hospitalisation_primary,ICD9,41021,2
