meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,4149,13
hospitalisation_secondary,ICD9,4110,1
hospitalisation_primary,ICD9,41011,1
hospitalisation_secondary,ICD9,41401,10
hospitalisation_primary,ICD9,41000,1
hospitalisation_secondary,ICD9,41002,1
hospitalisation_primary,ICD9,41042,1
hospitalisation_primary,ICD9,44023,2
hospitalisation_secondary,ICD9,412,2
hospitalisation_secondary,ICD9,41400,2
hospitalisation_primary,ICD9,41050,1
hospitalisation_secondary,ICD9,4148,7
hospitalisation_secondary,ICD9,4139,3
hospitalisation_primary,ICD9,41071,5
exemption,ICD9,414,6
hospitalisation_primary,ICD9,4111,2
hospitalisation_secondary,ICD9,41090,1
hospitalisation_primary,ICD9,41401,3
hospitalisation_secondary,ICD9,44020,1
hospitalisation_primary,ICD9,4148,1
hospitalisation_secondary,ICD9,44021,2
hospitalisation_primary,ICD9,41041,1
hospitalisation_primary,ICD9,44021,2
hospitalisation_secondary,ICD9,4408,2
hospitalisation_primary,ICD9,4139,2
hospitalisation_primary,ICD9,41021,2
hospitalisation_secondary,ICD9,4409,1
