meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,40290,6
hospitalisation_secondary,ICD9,4281,6
hospitalisation_primary,ICD9,4281,8
hospitalisation_secondary,ICD9,40210,7
hospitalisation_secondary,ICD9,4289,2
hospitalisation_secondary,ICD9,4280,12
hospitalisation_secondary,ICD9,42842,2
hospitalisation_primary,ICD9,4280,5
exemption,ICD9,402,3
hospitalisation_secondary,ICD9,42831,1
hospitalisation_secondary,ICD9,42822,1
hospitalisation_secondary,ICD9,42832,2
hospitalisation_secondary,ICD9,40201,1
hospitalisation_primary,ICD9,40411,1
hospitalisation_primary,ICD9,5184,1
hospitalisation_secondary,ICD9,5184,1
hospitalisation_secondary,ICD9,40211,1
hospitalisation_secondary,ICD9,40200,1
hospitalisation_secondary,ICD9,40291,1
