meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,42822,2
hospitalisation_secondary,ICD9,40291,1
hospitalisation_secondary,ICD9,4280,5
hospitalisation_primary,ICD9,4281,2
hospitalisation_secondary,ICD9,42843,1
hospitalisation_secondary,ICD9,40210,4
hospitalisation_secondary,ICD9,4281,4
hospitalisation_primary,ICD9,4280,4
hospitalisation_primary,ICD9,4289,1
hospitalisation_secondary,ICD9,42842,2
hospitalisation_primary,ICD9,42843,1
exemption,ICD9,428,1
hospitalisation_primary,ICD9,5184,1
hospitalisation_primary,ICD9,42823,1
hospitalisation_primary,ICD9,42841,1
hospitalisation_primary,ICD9,40211,1
hospitalisation_secondary,ICD9,4150,1
