sex,ageband_at_study_entry,Dose,type_vax,week_fup,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,50-59,0,,0,11,2,0,0,0,1754.02,875.6,3138.42,317.91,38.5,1148.41,0,0,586.28,0,0,586.28,0,0,586.28
0,50-59,1,Pfizer,1,0,0,0,0,0,0,0,75950.58,0,0,73067.42,0,0,71176.08,0,0,71176.08,0,0,71176.08
0,50-59,1,Pfizer,2,0,0,0,0,0,0,0,84686.56,0,0,81117.59,0,0,78793.17,0,0,78793.17,0,0,78793.17
0,50-59,1,Pfizer,3,0,0,0,0,0,0,0,109809.55,0,0,104853.17,0,0,101687.79,0,0,101687.79,0,0,101687.79
1,18-24,0,,0,4,0,0,0,0,1918.68,522.78,4912.59,0,0,1767.22,0,0,1767.22,0,0,1767.22,0,0,1767.22
0,70-79,0,,0,2,1,1,1,1,472.37,57.21,1706.35,236.15,5.98,1315.74,236.15,5.98,1315.74,236.15,5.98,1315.74,236.15,5.98,1315.74
0,70-79,1,AstraZeneca,1,0,0,0,0,0,0,0,118710.42,0,0,117263.99,0,0,117263.99,0,0,117263.99,0,0,117263.99
0,70-79,1,AstraZeneca,2,0,0,0,0,0,0,0,119553.08,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17
0,70-79,1,AstraZeneca,3,0,0,0,0,0,0,0,119553.08,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17
0,70-79,1,AstraZeneca,4,0,0,0,0,0,0,0,119553.08,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17
0,70-79,1,AstraZeneca,5,0,0,0,0,0,0,0,119553.08,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17
0,70-79,1,AstraZeneca,6,0,0,0,0,0,0,0,119553.08,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17
0,70-79,1,AstraZeneca,7,0,0,0,0,0,0,0,119553.08,0,0,118086.17,0,0,118086.17,0,0,118086.17,0,0,118086.17
0,70-79,1,AstraZeneca,8,0,0,0,0,0,0,0,119978.92,0,0,118501.6,0,0,118501.6,0,0,118501.6,0,0,118501.6
0,70-79,1,AstraZeneca,9,0,0,0,0,0,0,0,137767.2,0,0,136372.8,0,0,136372.8,0,0,136372.8,0,0,136372.8
0,0-4,0,,0,1,0,0,0,0,1919.94,48.61,10697.24,0,0,7079.09,0,0,7079.09,0,0,7079.09,0,0,7079.09
0,50-59,1,Pfizer,4,0,0,0,0,0,0,0,201399.58,0,0,193586.67,0,0,185077.37,0,0,185077.37,0,0,185077.37
0,50-59,1,Pfizer,5,0,0,0,0,0,0,0,290380,0,0,277806.85,0,0,263156.88,0,0,263156.88,0,0,263156.88
0,50-59,1,Pfizer,6,0,0,0,0,0,0,0,489950.26,0,0,461425.76,0,0,430467.48,0,0,430467.48,0,0,430467.48
0,40-49,0,,0,11,1,0,0,0,1799.99,898.55,3220.67,163.29,4.13,909.81,0,0,601.78,0,0,601.78,0,0,601.78
