sex,Dose,type_vax,week_fup,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,0,CV,3,2,1,1,1,613.48,126.51,1792.84,408.91,49.52,1477.11,204.43,5.18,1139.01,204.43,5.18,1139.01,204.43,5.18,1139.01
1,1,Pfizer,1,CV,0,0,0,0,0,0,0,72090.06,0,0,70764.88,0,0,69739.3,0,0,69739.3,0,0,69739.3
1,1,Pfizer,2,CV,0,0,0,0,0,0,0,73067.42,0,0,71668.26,0,0,70616.52,0,0,70616.52,0,0,70616.52
1,1,Pfizer,3,CV,0,0,0,0,0,0,0,80391.6,0,0,79163.53,0,0,77882.27,0,0,77882.27,0,0,77882.27
0,0,,0,CV,6,3,2,2,2,1096.81,402.51,2387.29,547.25,112.86,1599.3,364.46,44.14,1316.55,364.46,44.14,1316.55,364.46,44.14,1316.55
0,1,AstraZeneca,1,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,2,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,3,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,4,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,5,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,6,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,7,CV,0,0,0,0,0,0,0,300080.9,0,0,300080.9,0,0,300080.9,0,0,300080.9,0,0,300080.9
0,1,AstraZeneca,8,CV,0,0,0,0,0,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34
0,1,AstraZeneca,9,CV,0,0,0,0,0,0,0,341104.61,0,0,341104.61,0,0,341104.61,0,0,341104.61,0,0,341104.61
0,1,AstraZeneca,10,CV,0,0,0,0,0,0,0,373230.81,0,0,373230.81,0,0,373230.81,0,0,373230.81,0,0,373230.81
0,1,AstraZeneca,11,CV,0,0,0,0,0,0,0,414573.3,0,0,414573.3,0,0,414573.3,0,0,414573.3,0,0,414573.3
0,1,AstraZeneca,12,CV,0,0,0,0,0,0,0,481201.15,0,0,481201.15,0,0,481201.15,0,0,481201.15,0,0,481201.15
0,2,AstraZeneca,1,CV,0,0,0,0,0,0,0,604198.75,0,0,604198.75,0,0,604198.75,0,0,604198.75,0,0,604198.75
1,1,Pfizer,4,CV,0,0,0,0,0,0,0,245869.2,0,0,239744.35,0,0,229925.46,0,0,229925.46,0,0,229925.46
1,2,Pfizer,1,CV,0,0,0,0,0,0,0,101841.51,0,0,101305.51,0,0,100775.11,0,0,100775.11,0,0,100775.11
1,2,Pfizer,2,CV,0,0,0,0,0,0,0,104446.76,0,0,103883.05,0,0,103325.4,0,0,103325.4,0,0,103325.4
1,2,Pfizer,3,CV,0,0,0,0,0,0,0,104608.95,0,0,104043.49,0,0,103484.12,0,0,103484.12,0,0,103484.12
1,2,Pfizer,4,CV,0,0,0,0,0,0,0,104608.95,0,0,104043.49,0,0,103484.12,0,0,103484.12,0,0,103484.12
1,2,Pfizer,5,CV,0,0,0,0,0,0,0,107702.9,0,0,107103.59,0,0,106510.93,0,0,106510.93,0,0,106510.93
1,2,Pfizer,6,CV,0,0,0,0,0,0,0,117366.13,0,0,116654.82,0,0,115952.08,0,0,115952.08,0,0,115952.08
1,2,Pfizer,7,CV,0,0,0,0,0,0,0,128198.21,0,0,127712.15,0,0,126870.36,0,0,126870.36,0,0,126870.36
1,2,Pfizer,8,CV,0,0,0,0,0,0,0,149375.08,0,0,149375.08,0,0,148061.89,0,0,148061.89,0,0,148061.89
1,2,Pfizer,9,CV,0,0,0,0,0,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94
1,2,Pfizer,10,CV,0,0,0,0,0,0,0,251373.74,0,0,251373.74,0,0,251373.74,0,0,251373.74,0,0,251373.74
1,2,Pfizer,11,CV,0,0,0,0,0,0,0,349057.83,0,0,349057.83,0,0,349057.83,0,0,349057.83,0,0,349057.83
1,2,Pfizer,12,CV,0,0,0,0,0,0,0,407058.37,0,0,407058.37,0,0,407058.37,0,0,407058.37,0,0,407058.37
