Dose,type_vax,week_fup,sex,riskfactor,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM1_narrow_b,DM1_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,PERICARD_narrow_b,PERICARD_broad_b,ALI_narrow_b,ALI_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,MISCC_narrow_b,MISCC_broad_b,MIS_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,Sinusthrom_narrow_b,Sinusthrom_broad_b,VTE_narrow_b,VTE_broad_b,TP_narrow_b,TP_broad_b,BP_narrow_b,BP_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,CVSTNoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM1_narrow,lb_DM1_narrow,ub_DM1_narrow,IR_DM1_broad,lb_DM1_broad,ub_DM1_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_broad,lb_PERICARD_broad,ub_PERICARD_broad,IR_ALI_narrow,lb_ALI_narrow,ub_ALI_narrow,IR_ALI_broad,lb_ALI_broad,ub_ALI_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_MISCC_narrow,lb_MISCC_narrow,ub_MISCC_narrow,IR_MISCC_broad,lb_MISCC_broad,ub_MISCC_broad,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_Sinusthrom_narrow,lb_Sinusthrom_narrow,ub_Sinusthrom_narrow,IR_Sinusthrom_broad,lb_Sinusthrom_broad,ub_Sinusthrom_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_TP_narrow,lb_TP_narrow,ub_TP_narrow,IR_TP_broad,lb_TP_broad,ub_TP_broad,IR_BP_narrow,lb_BP_narrow,ub_BP_narrow,IR_BP_broad,lb_BP_broad,ub_BP_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP,IR_CVSTNoTP,lb_CVSTNoTP,ub_CVSTNoTP
0,0,0,0,COVCANCER,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1,1,0,0,0,3973.94,0,0,3973.94,0,0,3973.94,1087.8,27.54,6060.82,0,0,4017.3,1091.6,27.64,6082.02,0,0,3973.94,1077.97,27.29,6006.09,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,1087.9,27.54,6061.37,1087.9,27.54,6061.37,1078.01,27.29,6006.27,1078.01,27.29,6006.27,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,1090.3,27.6,6074.75,1090.3,27.6,6074.75,0,0,4017.3,0,0,4017.3,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,0,0,3973.94,14998.63,6858.33,28472.07,0,0,3973.94,0,0,3973.94,2154.55,260.93,7782.97,0,0,4017.3,0,0,3973.94,0,0,4017.3,0,0,3973.94
0,0,0,0,COVCKD,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,22637.15,0,0,22813.46,6432.72,162.86,35840.84,7460.17,188.88,41565.42,0,0,30359.69,9647.39,244.25,53751.79,0,0,24120.36,8055.8,203.96,44884.05,0,0,32687.12,0,0,32687.12,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,14514.21,1757.74,52430.3,14514.21,1757.74,52430.3,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,7017.29,177.66,39097.84,7017.29,177.66,39097.84,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,0,0,22637.15,51407.46,6225.68,185701.42,0,0,22637.15,0,0,22637.15,0,0,22637.15,7548.05,191.1,42055.03,0,0,22637.15,7548.05,191.1,42055.03,0,0,22637.15
0,0,0,0,COVCOPD,0,1,1,4,1,2,1,2,4,4,0,0,0,0,0,0,3,6,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,19,0,0,3,1,1,2,0,0,0,0,0,0,2130.08,577.52,14.62,3217.71,579.95,14.68,3231.25,2401.06,654.21,6147.68,596.11,15.09,3321.33,1201.78,145.54,4341.23,578.66,14.65,3224.09,1176.06,142.43,4248.35,2325.88,633.72,5955.17,2325.88,633.72,5955.17,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,1762.62,363.49,5151.12,3556.53,1305.18,7741.07,0,0,2130.08,0,0,2130.08,0,0,2130.08,578.15,14.64,3221.23,578.15,14.64,3221.23,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,579.44,14.67,3228.43,579.44,14.67,3228.43,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,0,0,2130.08,17644.93,10623.4,27554.74,0,0,2130.08,0,0,2130.08,1732.3,357.24,5062.52,578.66,14.65,3224.09,579.44,14.67,3228.43,1161.35,140.64,4195.19,0,0,2130.08
0,0,0,0,COVDIAB,0,0,1,9,0,2,0,2,3,3,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,22,0,0,4,1,0,1,0,0,0,0,0,0,1940.08,0,0,1940.08,528.01,13.37,2941.88,5549.97,2537.8,10535.58,0,0,1985.48,1103.66,133.66,3986.79,0,0,1950.35,1095.81,132.71,3958.44,1627.21,335.57,4755.41,1627.21,335.57,4755.41,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,1611.11,332.25,4708.36,1611.11,332.25,4708.36,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,528.12,13.37,2942.47,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,537.01,13.6,2992.01,542.85,13.74,3024.56,0,0,1940.08,0,0,1940.08,0,0,1950.35,0,0,1950.35,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,0,0,1940.08,27296.35,17106.48,41327,0,0,1940.08,0,0,1940.08,2103.7,573.19,5386.31,539.91,13.67,3008.19,0,0,1950.35,542.85,13.74,3024.56,0,0,1940.08
0,0,0,0,COVHIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,122710.68,0,0,122710.68,0,0,122710.68,0,0,122710.68,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,108382.79,2744.01,603870.25,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,122710.68,0,0,92033.01,0,0,122710.68,0,0,92033.01
0,0,0,0,COVOBES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,51406.46,0,0,51406.46,0,0,59750.03,0,0,45107.57,13674.65,346.21,76190.29,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,59750.03,0,0,59750.03,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,30654.64,3712.42,110735.09,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57,0,0,45107.57
0,0,0,0,COVSICKLE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73626.41,0,0,73626.41,0,0,73626.41,24317.58,615.67,135488.86,0,0,92033.01,0,0,92033.01,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,24366.24,616.9,135760.02,24366.24,616.9,135760.02,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,26467.39,670.1,147466.87,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41
0,0,0,0,CV,0,1,1,8,9,14,4,10,8,8,1,1,1,1,0,0,7,10,0,1,2,0,0,1,2,2,3,3,0,0,2,2,0,0,0,0,0,75,0,1,12,7,2,9,0,4,4,1,0,0,669.58,181.56,4.6,1011.6,181.76,4.6,1012.7,1510.03,651.92,2975.36,1693.52,774.38,3214.82,2711.68,1482.5,4549.74,735.75,200.47,1883.82,1899.31,910.79,3492.89,1510.05,651.93,2975.41,1510.05,651.93,2975.41,181.81,4.6,1012.97,181.81,4.6,1012.97,181.81,4.6,1012.97,181.81,4.6,1012.97,0,0,669.58,0,0,669.58,1287.13,517.49,2651.99,1852.15,888.18,3406.17,726.46,197.94,1860.02,726.46,197.94,1860.02,0,0,669.58,181.58,4.6,1011.71,363.69,44.04,1313.76,181.54,4.6,1011.47,0,0,669.58,0,0,669.58,181.84,4.6,1013.17,364.86,44.19,1318,364.86,44.19,1318,550.56,113.54,1608.97,553.61,114.17,1617.89,0,0,670.8,0,0,670.8,366.3,44.36,1323.22,366.3,44.36,1323.22,0,0,669.58,0,0,669.58,0,0,669.58,0,0,669.58,0,0,669.58,30516.16,24002.9,38252.28,0,0,669.58,181.84,4.6,1013.17,2178.15,1125.48,3804.79,1302,523.47,2682.62,366.3,44.36,1323.22,1689.5,772.55,3207.2,0,0,670.8
0,0,0,0,IMMUNOSUPPR,0,0,1,2,3,3,1,2,2,2,0,0,0,0,1,1,2,4,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,21,0,0,3,1,1,2,0,0,0,1,0,0,1810.85,0,0,1810.85,492.71,12.47,2745.2,991.44,120.07,3581.41,1500.35,309.41,4384.66,1500.35,309.41,4384.66,491.78,12.45,2740.02,1007.13,121.97,3638.09,987.6,119.6,3567.56,987.6,119.6,3567.56,0,0,1810.85,0,0,1810.85,0,0,1810.85,0,0,1810.85,491.01,12.43,2735.75,491.01,12.43,2735.75,991.61,120.09,3582.04,1992.44,542.87,5101.45,0,0,1810.85,0,0,1810.85,0,0,1810.85,491.41,12.44,2737.96,983.06,119.05,3551.14,491.09,12.43,2736.19,0,0,1810.85,0,0,1810.85,0,0,1810.85,0,0,1810.85,0,0,1810.85,0,0,1810.85,0,0,1810.85,0,0,1810.85,0,0,1810.85,491.05,12.43,2735.97,491.05,12.43,2735.97,0,0,1819.8,0,0,1819.8,0,0,1810.85,0,0,1810.85,0,0,1810.85,16962.82,10500.26,25929.48,0,0,1810.85,0,0,1810.85,1472.68,303.7,4303.81,491.78,12.45,2740.02,491.05,12.43,2735.97,983.88,119.15,3554.11,0,0,1810.85
0,0,0,0,any_risk_factors,0,1,1,12,9,14,4,10,11,11,1,1,1,1,1,1,7,10,0,1,3,0,0,1,2,2,3,3,0,0,4,4,0,0,0,0,0,102,0,1,13,7,4,11,0,4,4,1,0,0,407.81,110.57,2.8,616.06,110.64,2.8,616.47,1372.02,708.94,2396.64,1016.88,464.98,1930.35,1609.37,879.85,2700.24,445.79,121.46,1141.4,1136.19,544.85,2089.5,1247.81,622.9,2232.67,1247.81,622.9,2232.67,110.66,2.8,616.57,110.66,2.8,616.57,110.66,2.8,616.57,110.66,2.8,616.57,110.56,2.8,615.99,110.56,2.8,615.99,780.84,313.94,1608.84,1120.41,537.28,2060.47,442.36,120.53,1132.62,442.36,120.53,1132.62,0,0,407.81,110.58,2.8,616.1,332.04,68.48,970.37,110.56,2.8,616.01,0,0,407.81,0,0,407.81,110.68,2.8,616.64,221.78,26.86,801.16,221.78,26.86,801.16,333.88,68.85,975.74,335,69.09,979.02,0,0,408.27,0,0,408.27,444.96,121.24,1139.28,444.96,121.24,1139.28,0,0,408.27,0,0,408.27,0,0,407.81,0,0,407.81,0,0,407.81,20463.2,16685.29,24840.92,0,0,407.81,110.68,2.8,616.64,1437.18,765.24,2457.62,785.41,315.77,1618.24,444.96,121.24,1139.28,1242.01,620.01,2222.3,0,0,408.27
