datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,COVID,Numerator,IR,lb,ub
TEST,0,none,no_dose,CV,L1,9,868.68,397.21,1649.02
TEST,1,Pfizer,1,CV,L1,0,0,0,32710.93
TEST,2,Pfizer,1,CV,L1,0,0,0,33219.01
TEST,3,Pfizer,1,CV,L1,0,0,0,36662.94
TEST,1,AstraZeneca,1,CV,L1,0,0,0,168842.51
TEST,2,AstraZeneca,1,CV,L1,0,0,0,169693.1
TEST,3,AstraZeneca,1,CV,L1,0,0,0,170336.69
TEST,4,AstraZeneca,1,CV,L1,0,0,0,170336.69
TEST,5,AstraZeneca,1,CV,L1,0,0,0,171420.26
TEST,6,AstraZeneca,1,CV,L1,0,0,0,173405.82
TEST,7,AstraZeneca,1,CV,L1,0,0,0,176587.58
TEST,8,AstraZeneca,1,CV,L1,0,0,0,187133.78
TEST,9,AstraZeneca,1,CV,L1,0,0,0,206334.34
TEST,10,AstraZeneca,1,CV,L1,0,0,0,227595.14
TEST,11,AstraZeneca,1,CV,L1,0,0,0,242331.51
TEST,12,AstraZeneca,1,CV,L1,0,0,0,282466.08
TEST,1,AstraZeneca,2,CV,L1,0,0,0,352712.88
TEST,4,Pfizer,1,CV,L1,0,0,0,110711.85
TEST,1,Pfizer,2,CV,L1,0,0,0,45274.3
TEST,2,Pfizer,2,CV,L1,0,0,0,46396.81
TEST,3,Pfizer,2,CV,L1,0,0,0,46541.04
TEST,4,Pfizer,2,CV,L1,0,0,0,46589.32
TEST,5,Pfizer,2,CV,L1,0,0,0,48171.73
TEST,6,Pfizer,2,CV,L1,0,0,0,52385.82
TEST,7,Pfizer,2,CV,L1,0,0,0,55424.24
TEST,8,Pfizer,2,CV,L1,0,0,0,64467.14
TEST,9,Pfizer,2,CV,L1,0,0,0,80583.92
TEST,10,Pfizer,2,CV,L1,0,0,0,112467.71
TEST,11,Pfizer,2,CV,L1,0,0,0,155405.22
TEST,12,Pfizer,2,CV,L1,0,0,0,189502.56
TEST,13,Pfizer,2,CV,L1,0,0,0,240171.7
TEST,14,Pfizer,2,CV,L1,0,0,0,453657.65
TEST,15,Pfizer,2,CV,L1,0,0,0,774346.68
TEST,16,Pfizer,2,CV,L1,0,0,0,1132238
TEST,17,Pfizer,2,CV,L1,0,0,0,1236113.05
TEST,18,Pfizer,2,CV,L1,0,0,0,1480618.92
TEST,19,Pfizer,2,CV,L1,0,0,0,1480618.92
TEST,20,Pfizer,2,CV,L1,0,0,0,1480618.92
TEST,21,Pfizer,2,CV,L1,0,0,0,1705523.06
TEST,1,Moderna,1,CV,L1,0,0,0,271099.24
TEST,2,Moderna,1,CV,L1,0,0,0,274972.09
TEST,3,Moderna,1,CV,L1,0,0,0,278380.83
TEST,4,Moderna,1,CV,L1,0,0,0,296776.04
TEST,5,Moderna,1,CV,L1,0,0,0,1005494.94
TEST,6,Moderna,1,CV,L1,0,0,0,2641888.67
TEST,7,Moderna,1,CV,L1,0,0,0,5614013.42
TEST,8,Moderna,1,CV,L1,0,0,0,7091385.37
TEST,5,Pfizer,1,CV,L1,0,0,0,166752.87
TEST,6,Pfizer,1,CV,L1,0,0,0,221970.88
TEST,7,Pfizer,1,CV,L1,0,0,0,330236.08
TEST,8,Pfizer,1,CV,L1,0,0,0,362194.41
TEST,9,Pfizer,1,CV,L1,0,0,0,431847.19
TEST,10,Pfizer,1,CV,L1,0,0,0,502747.47
TEST,11,Pfizer,1,CV,L1,0,0,0,626680.57
TEST,1,Moderna,2,CV,L1,0,0,0,363170.68
TEST,2,Moderna,2,CV,L1,0,0,0,367128.94
TEST,3,Moderna,2,CV,L1,0,0,0,370154.73
TEST,4,Moderna,2,CV,L1,0,0,0,384960.92
TEST,5,Moderna,2,CV,L1,0,0,0,421051.01
TEST,6,Moderna,2,CV,L1,0,0,0,463011.42
TEST,7,Moderna,2,CV,L1,0,0,0,506527.53
TEST,8,Moderna,2,CV,L1,0,0,0,635548.69
TEST,2,AstraZeneca,2,CV,L1,0,0,0,701751.68
TEST,1,UKN,1,CV,L1,0,0,0,1924804.6
TEST,2,UKN,1,CV,L1,0,0,0,1924804.6
TEST,3,UKN,1,CV,L1,0,0,0,2323040.04
TEST,4,UKN,1,CV,L1,0,0,0,2749720.86
TEST,5,UKN,1,CV,L1,0,0,0,2749720.86
TEST,6,UKN,1,CV,L1,0,0,0,2994140.49
TEST,7,UKN,1,CV,L1,0,0,0,3208007.67
TEST,8,UKN,1,CV,L1,0,0,0,3208007.67
TEST,9,UKN,1,CV,L1,0,0,0,3208007.67
TEST,10,UKN,1,CV,L1,0,0,0,19248046.01
TEST,3,AstraZeneca,2,CV,L1,0,0,0,2495117.08
TEST,12,Pfizer,1,CV,L1,0,0,0,806804.32
TEST,13,Pfizer,1,CV,L1,0,0,0,1192356.83
TEST,14,Pfizer,1,CV,L1,0,0,0,1566701.42
TEST,15,Pfizer,1,CV,L1,0,0,0,1796484.29
TEST,16,Pfizer,1,CV,L1,0,0,0,2929050.48
TEST,17,Pfizer,1,CV,L1,0,0,0,4082918.85
TEST,18,Pfizer,1,CV,L1,0,0,0,5614013.42
TEST,22,Pfizer,2,CV,L1,0,0,0,3641522.22
TEST,9,Moderna,2,CV,L1,0,0,0,744399.57
TEST,4,AstraZeneca,2,CV,L1,0,0,0,13473632.21
TEST,23,Pfizer,2,CV,L1,0,0,0,67368161.03
TEST,9,Moderna,1,CV,L1,0,0,0,9624023
TEST,10,Moderna,1,CV,L1,0,0,0,14970702.45
TEST,13,AstraZeneca,1,CV,L1,0,0,0,2406005.75
TEST,10,Moderna,2,CV,L1,0,0,0,1171620.19
TEST,11,Moderna,2,CV,L1,0,0,0,2041459.43
TEST,12,Moderna,2,CV,L1,0,0,0,2866730.26
TEST,13,Moderna,2,CV,L1,0,0,0,8982421.47
TEST,14,Moderna,2,CV,L1,0,0,0,16842040.26
TEST,14,AstraZeneca,1,CV,L1,0,0,0,16842040.26
TEST,19,Pfizer,1,CV,L1,0,0,0,6416015.34
TEST,20,Pfizer,1,CV,L1,0,0,0,6416015.34
TEST,21,Pfizer,1,CV,L1,0,0,0,6736816.1
TEST,22,Pfizer,1,CV,L1,0,0,0,9624023
TEST,23,Pfizer,1,CV,L1,0,0,0,9624023
TEST,24,Pfizer,1,CV,L1,0,0,0,9624023
TEST,25,Pfizer,1,CV,L1,0,0,0,12248756.55
TEST,11,Moderna,1,CV,L1,0,0,0,67368161.03
TEST,0,none,no_dose,COVCANCER,L1,4,2520.7,686.81,6454
TEST,1,Pfizer,1,COVCANCER,L1,0,0,0,274972.09
TEST,2,Pfizer,1,COVCANCER,L1,0,0,0,274972.09
TEST,3,Pfizer,1,COVCANCER,L1,0,0,0,292905.05
TEST,1,Pfizer,2,COVCANCER,L1,0,0,0,393965.85
TEST,2,Pfizer,2,COVCANCER,L1,0,0,0,414573.3
TEST,3,Pfizer,2,COVCANCER,L1,0,0,0,422370.92
TEST,4,Pfizer,2,COVCANCER,L1,0,0,0,427734.36
TEST,5,Pfizer,2,COVCANCER,L1,0,0,0,453657.65
TEST,6,Pfizer,2,COVCANCER,L1,0,0,0,510364.86
TEST,7,Pfizer,2,COVCANCER,L1,0,0,0,547708.63
TEST,8,Pfizer,2,COVCANCER,L1,0,0,0,701751.68
TEST,9,Pfizer,2,COVCANCER,L1,0,0,0,976350.16
TEST,10,Pfizer,2,COVCANCER,L1,0,0,0,1448777.66
