datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,AESI,Numerator,IR,lb,ub
TEST,0,none,no_dose,COVCANCER,ADEM_broad,0,0,0,2314.78
TEST,0,none,no_dose,COVCKD,ADEM_broad,0,0,0,9327.54
TEST,0,none,no_dose,COVCOPD,ADEM_broad,0,0,0,1072.14
TEST,0,none,no_dose,COVDIAB,ADEM_broad,0,0,0,885.45
TEST,0,none,no_dose,COVHIV,ADEM_broad,0,0,0,15481.6
TEST,0,none,no_dose,COVOBES,ADEM_broad,0,0,0,24254.96
TEST,0,none,no_dose,COVSICKLE,ADEM_broad,0,0,0,40903.56
TEST,0,none,no_dose,CV,ADEM_broad,0,0,0,355.68
TEST,0,none,no_dose,IMMUNOSUPPR,ADEM_broad,0,0,0,1087.79
TEST,0,none,no_dose,any_risk_factors,ADEM_broad,0,0,0,217.13
TEST,1,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,1480618.92
TEST,1,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,19248046.01
TEST,1,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,458286.81
TEST,1,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,620904.71
TEST,1,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,9624023
TEST,1,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,9624023
TEST,1,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,CV,ADEM_broad,0,0,0,168842.51
TEST,1,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,549944.17
TEST,1,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,101305.51
TEST,2,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,740309.46
TEST,2,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,9624023
TEST,2,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,229143.4
TEST,2,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,310452.35
TEST,2,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,4812011.5
TEST,2,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,4812011.5
TEST,2,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,CV,ADEM_broad,0,0,0,84633.37
TEST,2,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,274972.09
TEST,2,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,50729.04
TEST,3,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,493539.64
TEST,3,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,6416015.34
TEST,3,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,152762.27
TEST,3,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,206968.24
TEST,3,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,3208007.67
TEST,3,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,3208007.67
TEST,3,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,CV,ADEM_broad,0,0,0,56540.63
TEST,3,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,183314.72
TEST,3,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,33861.86
TEST,4,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,370154.73
TEST,4,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,4812011.5
TEST,4,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,114474.36
TEST,4,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,155226.18
TEST,4,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,2406005.75
TEST,4,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,2406005.75
TEST,4,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,CV,ADEM_broad,0,0,0,42450.01
TEST,4,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,137345.89
TEST,4,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,25402.78
TEST,5,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,296123.78
TEST,5,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,3849609.2
TEST,5,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,92221.99
TEST,5,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,124180.94
TEST,5,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,1924804.6
TEST,5,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,1924804.6
TEST,5,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,CV,ADEM_broad,0,0,0,34024.32
TEST,5,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,110439.61
TEST,5,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,20399.14
TEST,6,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,246769.82
TEST,6,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,3208007.67
TEST,6,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,78335.07
TEST,6,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,103484.12
TEST,6,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,1604003.83
TEST,6,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,1604003.83
TEST,6,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,CV,ADEM_broad,0,0,0,28443.39
TEST,6,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,93307.7
TEST,6,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,17115.89
TEST,7,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,212853.59
TEST,7,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,2749720.86
TEST,7,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,68255.48
TEST,7,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,89170.3
TEST,7,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,1374860.43
TEST,7,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,1374860.43
TEST,7,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,CV,ADEM_broad,0,0,0,24497.51
TEST,7,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,81707.9
TEST,7,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,14825.74
TEST,8,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,189502.56
TEST,8,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,2406005.75
TEST,8,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,61049.53
TEST,8,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,79584.36
TEST,8,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,1203002.88
TEST,8,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,1203002.88
TEST,8,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,CV,ADEM_broad,0,0,0,21661.79
TEST,8,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,72751.79
TEST,8,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,13196.51
TEST,9,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,172517.7
TEST,9,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,2138671.78
TEST,9,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,55584.29
TEST,9,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,73266.08
TEST,9,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,1069335.89
TEST,9,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,1069335.89
TEST,9,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,9,AstraZeneca,1,CV,ADEM_broad,0,0,0,19603.71
TEST,9,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,65885.73
TEST,9,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,12025.73
TEST,10,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,158327.05
TEST,10,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,1924804.6
TEST,10,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,51702.35
TEST,10,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,68568.1
TEST,10,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,962402.3
TEST,10,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,962402.3
TEST,10,AstraZeneca,1,COVSICKLE,ADEM_broad,0,0,0,0
TEST,10,AstraZeneca,1,CV,ADEM_broad,0,0,0,18049.07
TEST,10,AstraZeneca,1,IMMUNOSUPPR,ADEM_broad,0,0,0,60610.13
TEST,10,AstraZeneca,1,any_risk_factors,ADEM_broad,0,0,0,11144.44
TEST,11,AstraZeneca,1,COVCANCER,ADEM_broad,0,0,0,146293.51
TEST,11,AstraZeneca,1,COVCKD,ADEM_broad,0,0,0,1749822.36
TEST,11,AstraZeneca,1,COVCOPD,ADEM_broad,0,0,0,48379.29
TEST,11,AstraZeneca,1,COVDIAB,ADEM_broad,0,0,0,64436.31
TEST,11,AstraZeneca,1,COVHIV,ADEM_broad,0,0,0,874911.18
TEST,11,AstraZeneca,1,COVOBES,ADEM_broad,0,0,0,874911.18
