sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,18-24,2020,5102,5102,5102,5102,5102,5102,5102,5102,5102,5102,5102,0,0,0,0,0,0,0,0,0,0
0,18-24,2021,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,0,0,0,0,0,0,0,0,0,0
1,40-49,2020,10984,10984,10984,10984,10984,10984,10984,10984,10984,10984,10984,0,0,0,0,0,0,0,0,0,0
0,80+,2020,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,0,0,0,0,0,0,0,0,0,0
1,70-79,2020,5712,5712,5712,5712,5350,5712,5350,5712,5712,5712,5712,0,0,0,< 5,0,< 5,0,0,0,0
1,70-79,2021,1338,1338,1338,1338,1237,1338,1237,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0
0,80+,2021,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,0,0,0,0,0,0,0,0,0,0
0,30-39,2020,9897,9897,9897,9897,9897,9897,9897,9897,9897,9897,9897,0,0,0,0,0,0,0,0,0,0
0,30-39,2021,2634,2634,2634,2634,2634,2634,2634,2634,2634,2634,2634,0,0,0,0,0,0,0,0,0,0
1,40-49,2021,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,0,0,0,0,0,0,0,0,0,0
0,70-79,2020,11170,11170,11170,11170,11170,11170,11170,11170,11170,11170,11170,0,0,0,0,0,0,0,0,0,0
0,70-79,2021,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,0,0,0,0,0,0,0,0,0,0
1,60-69,2020,9419,9419,9419,9419,9419,9419,9419,9419,9419,9419,9419,0,0,0,0,0,0,0,0,0,0
1,60-69,2021,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,0,0,0,0,0,0,0,0,0,0
0,50-59,2020,14825,14825,14825,14825,14825,14825,14825,14825,14825,14825,14825,0,0,0,0,0,0,0,0,0,0
0,60-69,2020,8128,8128,8128,8128,8128,8128,8128,8128,8128,8128,8128,0,0,0,0,0,0,0,0,0,0
0,60-69,2021,2222,2222,2222,2222,2222,2222,2222,2222,2222,2222,2222,0,0,0,0,0,0,0,0,0,0
1,50-59,2020,9062,9062,9062,9062,9062,9062,9062,9062,9062,9062,9062,0,0,0,0,0,0,0,0,0,0
1,50-59,2021,2359,2359,2359,2359,2359,2359,2359,2359,2359,2359,2359,0,0,0,0,0,0,0,0,0,0
1,12-17,2020,3597,3597,3597,3597,3597,3597,3597,3597,3597,3597,3597,0,0,0,0,0,0,0,0,0,0
1,12-17,2021,909,909,909,909,909,909,909,909,909,909,909,0,0,0,0,0,0,0,0,0,0
0,40-49,2020,8911,8911,8911,8911,8911,8911,8911,8911,8911,8911,8911,0,0,0,0,0,0,0,0,0,0
0,40-49,2021,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,0,0,0,0,0,0,0,0,0,0
1,25-29,2020,2534,2534,2534,2534,2534,2534,2534,2534,2534,2534,2534,0,0,0,0,0,0,0,0,0,0
1,25-29,2021,535,535,535,535,535,535,535,535,535,535,535,0,0,0,0,0,0,0,0,0,0
0,12-17,2020,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,0,0,0,0,0,0,0,0,0,0
0,12-17,2021,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,0,0,0,0,0,0,0,0,0,0
0,50-59,2021,3604,3604,3604,3604,3604,3604,3604,3604,3604,3604,3604,0,0,0,0,0,0,0,0,0,0
1,30-39,2020,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,0,0,0,0,0,0,0,0,0,0
1,30-39,2021,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,0,0,0,0,0,0,0,0,0,0
1,80+,2020,6572,6572,6572,6572,6572,6572,6572,6572,6572,6572,6572,0,0,0,0,0,0,0,0,0,0
1,80+,2021,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,0,0,0,0,0,0,0,0,0,0
0,25-29,2020,1686,1320,1686,1320,1320,1686,1320,1686,1686,1686,1686,0,0,0,0,0,0,0,0,0,0
1,5-11,2020,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,0,0,0,0,0,0,0,0,0,0
1,5-11,2021,707,707,707,707,707,707,707,707,707,707,707,0,0,0,0,0,0,0,0,0,0
0,25-29,2021,404,303,404,303,303,404,303,404,404,404,404,0,0,0,0,0,0,0,0,0,0
1,18-24,2020,3294,3294,3294,3294,3294,3294,3294,3294,3294,3294,3294,0,0,0,0,0,0,0,0,0,0
1,18-24,2021,909,909,909,909,909,909,909,909,909,909,909,0,0,0,0,0,0,0,0,0,0
0,0-4,2020,723,723,723,723,723,723,723,723,723,723,723,0,0,0,0,0,0,0,0,0,0
0,0-4,2021,101,101,101,101,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,0
0,5-11,2020,3294,3294,3294,3294,3294,3294,3294,3294,3294,3294,3294,0,0,0,0,0,0,0,0,0,0
0,5-11,2021,909,909,909,909,909,909,909,909,909,909,909,0,0,0,0,0,0,0,0,0,0
