Dose,sex,ageband_at_study_entry,type_vax,week_fup,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,year,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,Persontime_COVID_L5plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b
0,0,18-24,"",0,0,0,0,0,0,0,0,0,0,0,2020,4614,4614,4614,4614,4614,4614,0,0,0,0,0
0,0,18-24,"",0,0,0,0,0,0,0,0,0,0,0,2021,1212,1138,1212,1212,1212,1212,< 5,0,0,0,0
0,1,40-49,"",0,0,0,0,0,0,0,0,0,0,0,2020,9290,9223,9290,9290,9290,9290,< 5,0,0,0,0
0,0,80+,"",0,1,0,0,0,0,0,0,0,0,< 5,2020,2583,2583,2583,2583,2583,2583,0,0,0,0,0
0,1,70-79,"",0,1,0,0,0,0,0,0,0,0,< 5,2020,732,732,732,732,732,732,0,0,0,0,0
0,1,70-79,"",0,1,0,0,0,0,0,0,0,0,< 5,2021,202,202,202,202,202,202,0,0,0,0,0
0,0,80+,"",0,1,0,0,0,0,0,0,0,0,< 5,2021,535,535,535,535,535,535,0,0,0,0,0
0,0,80+,"",0,1,0,0,0,0,< 5,0,0,0,< 5,2020,1098,1098,1098,1098,1098,1098,0,0,0,0,0
0,0,80+,"",0,1,0,0,0,0,< 5,0,0,0,< 5,2021,303,303,303,303,303,303,0,0,0,0,0
0,0,25-29,"",0,0,0,0,0,0,0,0,0,0,0,2020,2196,2196,2196,2196,2196,2196,0,0,0,0,0
0,0,25-29,"",0,0,0,0,0,0,0,0,0,0,0,2021,606,606,606,606,606,606,0,0,0,0,0
0,1,40-49,"",0,0,0,0,0,0,0,0,0,0,0,2021,2290,2182,2290,2290,2290,2290,< 5,0,0,0,0
0,0,70-79,"",0,0,0,0,0,0,0,0,0,0,0,2020,3953,3902,3953,3953,3953,3953,< 5,0,0,0,0
0,0,70-79,"",0,0,0,0,0,0,0,0,0,0,0,2021,970,869,970,970,970,970,0,0,0,0,0
0,1,60-69,"",0,0,0,0,0,0,0,0,0,0,0,2020,5498,5401,5401,5401,5498,5498,< 5,< 5,< 5,0,0
0,1,60-69,"",0,0,0,0,0,0,0,0,0,0,0,2021,1515,1414,1414,1414,1515,1515,0,0,0,0,0
0,0,50-59,"",0,0,0,0,0,0,0,0,0,0,0,2020,11691,11652,11690,11690,11690,11690,< 5,< 5,< 5,< 5,< 5
0,0,60-69,"",0,0,0,0,0,0,0,0,0,0,0,2020,7030,7030,7030,7030,7030,7030,0,0,0,0,0
0,0,60-69,"",0,0,0,0,0,0,0,0,0,0,0,2021,1919,1919,1919,1919,1919,1919,0,0,0,0,0
0,1,50-59,"",0,0,0,0,0,0,0,0,0,0,0,2020,9243,9023,9023,9023,9243,9243,< 5,< 5,< 5,0,0
0,1,50-59,"",0,0,0,0,0,0,0,0,0,0,0,2021,2423,2322,2322,2322,2423,2423,0,0,0,0,0
0,1,12-17,"",0,0,0,0,0,0,0,0,0,< 5,< 5,2020,366,366,366,366,366,366,0,0,0,0,0
0,1,12-17,"",0,0,0,0,0,0,0,0,0,< 5,< 5,2021,101,101,101,101,101,101,0,0,0,0,0
0,0,30-39,"",0,0,0,0,0,0,0,0,0,0,0,2020,9531,9531,9531,9531,9531,9531,0,0,0,0,0
0,0,30-39,"",0,0,0,0,0,0,0,0,0,0,0,2021,2533,2533,2533,2533,2533,2533,0,0,0,0,0
0,1,70-79,"",0,0,0,0,0,0,0,0,0,< 5,< 5,2020,366,366,366,366,366,366,0,0,0,0,0
0,1,70-79,"",0,0,0,0,0,0,0,0,0,< 5,< 5,2021,101,101,101,101,101,101,0,0,0,0,0
