sex,Birthcohort_persons,Dose,type_vax,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,week,Persontime.x,Persontime_ACUASEARTHRITIS_broad,Persontime_DM_broad,Persontime_HF_narrow,Persontime_HF_broad,Persontime_CAD_narrow,Persontime_CAD_broad,Persontime_Ischstroke_narrow,Persontime_Ischstroke_broad,Persontime_VTE_narrow,Persontime_VTE_broad,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_DEATH,Persontime_ArterialNoTP,Persontime_VTENoTP,Persontime_ArterialVTENoTP,ACUASEARTHRITIS_broad_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,Persontime.y,Persontime_GENCONV_narrow,Persontime_GENCONV_broad,Persontime_ANAPHYL_broad,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-06,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-13,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-03,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-10,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-24,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-02,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-09,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
