sex,ageband_at_1_jan_2021,type_vax_1,history_covid,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,Pfizer,1,2021,142,142,142,142,142,142,142,142,142,142,142,142,142,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021,10515,10515,10515,10515,10515,10515,10515,10515,10515,10515,10515,10515,10515,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021,2728,2728,2728,2728,2728,2728,2728,2728,2728,2728,2728,2728,2728,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021,3568,3568,3568,3568,3568,3568,3568,3568,3568,3568,3568,3568,3568,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,0,2021,2672,2672,2672,2672,2672,2672,2672,2672,2672,2672,2672,2672,2672,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,0,2021,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,0,2021,422,422,422,422,422,422,422,422,422,422,422,422,422,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,J&J,0,2021,323,323,323,323,323,323,323,323,323,323,323,323,323,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Moderna,0,2021,315,315,315,315,315,315,315,315,315,315,315,315,315,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,0,2021,901,901,901,901,901,901,901,901,901,901,901,901,901,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,Moderna,0,2021,143,143,143,143,143,143,143,143,143,143,143,143,143,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,0,2021,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,Pfizer,0,2021,418,418,418,418,418,418,418,418,418,418,418,418,418,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,0,2021,381,381,381,381,381,381,381,381,381,381,381,381,381,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,0,2021,329,329,329,329,329,329,329,329,329,329,329,329,329,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,0,2021,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,1,2021,102,102,102,102,102,102,102,102,102,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,1,2021,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,J&J,0,2021,95,95,95,95,95,95,95,95,95,95,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,1,2021,70,70,70,70,70,70,70,70,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,J&J,0,2021,197,197,197,197,197,197,197,197,197,197,197,197,197,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,1,2021,158,158,158,158,158,158,158,158,158,158,158,158,158,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Moderna,0,2021,291,291,291,291,291,291,291,291,291,291,291,291,291,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Moderna,0,2021,638,638,638,638,638,638,638,638,638,638,638,638,638,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,AstraZeneca,0,2021,272,272,272,272,272,272,272,272,272,272,272,272,272,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,1,2021,127,127,127,127,127,127,127,127,127,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,Pfizer,0,2021,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,1,2021,154,154,154,154,154,154,154,154,154,154,154,154,154,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,1,2021,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,J&J,1,2021,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Moderna,0,2021,54,54,54,54,54,54,54,54,54,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,1,2021,84,84,84,84,84,84,84,84,84,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,1,2021,91,91,91,91,91,91,91,91,91,91,91,91,91,0,0,0,0,0,0,0,0,0,0,0,0
