meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,44023,< 5
hospitalisation_secondary,ICD9,4149,< 5
hospitalisation_secondary,ICD9,4148,< 5
exemption,ICD9,414,< 5
hospitalisation_secondary,ICD9,41010,< 5
emergency_room_diagnosis,ICD9,41071,< 5
hospitalisation_primary,ICD9,41071,< 5
emergency_room_diagnosis,ICD9,41091,< 5
hospitalisation_primary,ICD9,41031,< 5
hospitalisation_secondary,ICD9,412,< 5
hospitalisation_primary,ICD9,4139,< 5
hospitalisation_primary,ICD9,41001,< 5
hospitalisation_primary,ICD9,41401,< 5
