meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
<<<<<<< HEAD
hospitalisation_secondary,ICD9,25002,< 5
hospitalisation_primary,ICD9,25001,< 5
exemption,ICD9,250,5
=======
exemption,ICD9,250,7
hospitalisation_secondary,ICD9,25002,< 5
hospitalisation_primary,ICD9,25001,< 5
>>>>>>> a2bd58d4164d12b33695c48ea45fe56349d60f07
hospitalisation_secondary,ICD9,25070,< 5
hospitalisation_secondary,ICD9,25000,< 5
emergency_room_diagnosis,ICD9,25080,< 5
emergency_room_diagnosis,ICD9,25002,< 5
hospitalisation_secondary,ICD9,25072,< 5
hospitalisation_secondary,ICD9,25040,< 5
emergency_room_diagnosis,ICD9,25003,< 5
emergency_room_diagnosis,ICD9,25013,< 5
