sex,ageband_at_study_entry,Dose,type_vax,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,week,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,Persontime_COVID_L5plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b
0,50-59,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,3710,3710,3710,3710,3710,3710,0,0,0,0,0
1,18-24,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1393,1393,1393,1393,1393,1393,0,0,0,0,0
0,70-79,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1337,1337,1337,1337,1337,1337,0,0,0,0,0
0,0-4,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,364,364,364,364,364,364,0,0,0,0,0
0,40-49,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,3906,3906,3906,3906,3906,3906,0,0,0,0,0
1,70-79,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,609,609,609,609,609,609,0,0,0,0,0
1,25-29,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1204,1204,1204,1204,1204,1204,0,0,0,0,0
0,50-59,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
0,40-49,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,112,112,112,112,112,112,0,0,0,0,0
0,70-79,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,749,749,749,749,749,749,0,0,0,0,0
0,60-69,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,2527,2527,2527,2527,2527,2527,0,0,0,0,0
1,60-69,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,364,364,364,364,364,364,0,0,0,0,0
1,30-39,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,2520,2520,2520,2520,2520,2520,0,0,0,0,0
1,40-49,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,3449,3449,3449,3449,3449,3449,0,0,0,0,0
0,80+,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,886,886,886,886,886,886,0,0,0,0,0
1,50-59,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,3571,3571,3571,3571,3571,3571,0,0,0,0,0
1,80+,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,581,581,581,581,581,581,0,0,0,0,0
0,30-39,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,2594,2594,2594,2594,2594,2594,0,0,0,0,0
1,80+,0,"",1,1,0,0,0,0,0,1,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,80+,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,980,980,980,980,980,980,0,0,0,0,0
1,25-29,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,49,49,49,49,49,49,0,0,0,0,0
1,80+,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,623,623,623,623,623,623,0,0,0,0,0
0,18-24,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1169,1169,1169,1169,1169,1169,0,0,0,0,0
0,70-79,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,154,154,154,154,154,154,0,0,0,0,0
1,30-39,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,40-49,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,91,91,91,91,91,91,0,0,0,0,0
1,80+,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,231,231,231,231,231,231,0,0,0,0,0
1,60-69,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,2065,2065,2065,2065,2065,2065,0,0,0,0,0
1,60-69,0,"",1,0,1,0,0,0,0,0,0,1,2020-01-06,84,84,84,84,84,84,0,0,0,0,0
1,5-11,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1121,1121,1121,1121,1121,1121,0,0,0,0,0
0,12-17,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1092,1092,1092,1092,1092,1092,0,0,0,0,0
0,25-29,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1170,1170,1170,1170,1170,1170,0,0,0,0,0
1,70-79,0,"",1,0,0,0,0,0,1,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,80+,0,"",1,0,1,0,0,0,0,0,0,1,2020-01-06,114,114,114,114,114,114,0,0,0,0,0
0,5-11,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,875,875,875,875,875,875,0,0,0,0,0
0,80+,0,"",1,1,0,0,0,0,0,0,0,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
0,80+,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,70,70,70,70,70,70,0,0,0,0,0
1,70-79,0,"",1,1,1,0,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,70-79,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1036,1036,1036,1036,1036,1036,0,0,0,0,0
0,80+,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,329,329,329,329,329,329,0,0,0,0,0
1,60-69,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,63,63,63,63,63,63,0,0,0,0,0
1,70-79,0,"",1,0,1,0,0,0,0,0,0,1,2020-01-06,63,63,63,63,63,63,0,0,0,0,0
0,60-69,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
1,60-69,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,154,154,154,154,154,154,0,0,0,0,0
0,80+,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,56,56,56,56,56,56,0,0,0,0,0
0,40-49,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
0,60-69,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,334,334,334,334,334,334,0,0,0,0,0
1,70-79,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,203,203,203,203,203,203,0,0,0,0,0
1,40-49,0,"",0,0,0,1,0,0,0,0,0,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
0,40-49,0,"",1,1,0,0,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,60-69,0,"",0,1,0,0,0,0,0,0,0,1,2020-01-06,56,56,56,56,56,56,0,0,0,0,0
1,50-59,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,175,175,175,175,175,175,0,0,0,0,0
1,0-4,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,322,322,322,322,322,322,0,0,0,0,0
1,40-49,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,119,119,119,119,119,119,0,0,0,0,0
1,12-17,0,"",0,0,0,0,0,0,0,0,0,0,2020-01-06,1295,1295,1295,1295,1295,1295,0,0,0,0,0
0,60-69,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,80+,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
0,50-59,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
0,50-59,0,"",0,0,0,0,0,1,1,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,77,77,77,77,77,77,0,0,0,0,0
0,70-79,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,133,133,133,133,133,133,0,0,0,0,0
0,60-69,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
1,50-59,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,154,154,154,154,154,154,0,0,0,0,0
1,70-79,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
1,80+,0,"",1,1,0,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,70-79,0,"",0,0,1,0,0,1,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,50-59,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,50-59,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,119,119,119,119,119,119,0,0,0,0,0
0,80+,0,"",1,1,0,0,0,0,0,1,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,40-49,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,105,105,105,105,105,105,0,0,0,0,0
1,70-79,0,"",1,1,0,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",1,0,1,0,0,1,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
1,5-11,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,70,70,70,70,70,70,0,0,0,0,0
0,70-79,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,98,98,98,98,98,98,0,0,0,0,0
0,50-59,0,"",0,1,0,0,0,0,0,0,0,1,2020-01-06,56,56,56,56,56,56,0,0,0,0,0
0,60-69,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,140,140,140,140,140,140,0,0,0,0,0
1,12-17,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,56,56,56,56,56,56,0,0,0,0,0
0,18-24,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
0,70-79,0,"",1,0,0,0,1,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,70-79,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,63,63,63,63,63,63,0,0,0,0,0
0,25-29,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,50-59,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,70,70,70,70,70,70,0,0,0,0,0
0,70-79,0,"",1,0,1,0,0,0,0,0,0,1,2020-01-06,98,98,98,98,98,98,0,0,0,0,0
0,70-79,0,"",1,1,0,0,0,0,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
0,50-59,0,"",0,1,1,0,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
