sex,agebands_at_1_jan_2021,type_vax_1,history_covid,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,70-79,AstraZeneca,0,2021-05,5438,5438,5438,5438,5438,5438,5438,5438,5438,5438,5438,5438,5438,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-06,5318,5318,5318,5318,5318,5318,5318,5318,5318,5318,5318,5318,5318,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-05,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-06,6038,6038,6038,6038,6038,6038,6038,6038,6038,6038,6038,6038,6038,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-04,545,545,545,545,545,545,545,545,545,545,545,545,545,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-05,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,AstraZeneca,0,2021-04,109,109,109,109,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,AstraZeneca,0,2021-05,131,131,131,131,131,131,131,131,131,131,131,131,131,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,AstraZeneca,0,2021-06,150,150,150,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-04,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-06,5410,5410,5410,5410,5410,5410,5410,5410,5410,5410,5410,5410,5410,0,0,0,0,0,0,0,0,0,0,0,0
