meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,42822,< 5
hospitalisation_secondary,ICD9,40291,< 5
hospitalisation_secondary,ICD9,4280,5
hospitalisation_primary,ICD9,4281,< 5
hospitalisation_secondary,ICD9,42843,< 5
hospitalisation_secondary,ICD9,4281,< 5
hospitalisation_primary,ICD9,4280,< 5
hospitalisation_primary,ICD9,4289,< 5
hospitalisation_secondary,ICD9,42842,< 5
hospitalisation_primary,ICD9,42843,< 5
exemption,ICD9,428,< 5
hospitalisation_primary,ICD9,42823,< 5
hospitalisation_primary,ICD9,42841,< 5
