week,vx_manufacturer,dose,birth_cohort,N
20210301,Moderna,1,1940-1949,3
20210118,Pfizer,1,1960-1969,5
20210208,Pfizer,2,1960-1969,7
20210308,AstraZeneca,1,1970-1979,3
20210308,Pfizer,1,1960-1969,2
20210104,Pfizer,1,1960-1969,17
20210125,Pfizer,2,1960-1969,15
20210222,Pfizer,1,1980-1989,11
20210315,Pfizer,2,1980-1989,6
20210111,Pfizer,1,1970-1979,8
20210201,Pfizer,2,1970-1979,12
20210322,Pfizer,1,<1940,1
20210308,Pfizer,1,<1940,58
20210215,Pfizer,1,1960-1969,18
20210308,Pfizer,2,1960-1969,16
20210315,Pfizer,2,1960-1969,9
20210308,Moderna,1,<1940,2
20210315,Pfizer,1,<1940,32
20210125,Pfizer,1,1990+,1
20210208,Pfizer,2,1990+,3
20210208,Pfizer,1,1970-1979,8
20210301,Pfizer,2,1970-1979,8
20210308,AstraZeneca,1,1960-1969,9
20210215,Pfizer,1,1970-1979,11
20210308,Pfizer,2,1970-1979,10
20210301,AstraZeneca,1,1960-1969,21
20210104,Pfizer,1,1970-1979,11
20210125,Pfizer,2,1970-1979,9
20210208,AstraZeneca,1,1960-1969,1
20210215,Pfizer,1,1980-1989,7
20210308,Pfizer,2,1980-1989,8
20210301,Pfizer,1,<1940,37
20210222,AstraZeneca,1,1980-1989,5
20210111,Pfizer,1,1990+,9
20210201,Pfizer,2,1990+,8
20210222,Pfizer,1,1960-1969,9
20210315,Moderna,1,1960-1969,4
20210118,Moderna,1,1950-1959,3
20210215,Moderna,2,1950-1959,3
20210125,Pfizer,1,<1940,3
20210215,Pfizer,2,<1940,3
20210222,Moderna,1,1990+,1
20210208,Pfizer,1,1980-1989,8
20210301,Pfizer,2,1980-1989,9
20210308,Moderna,1,1940-1949,5
20210111,Pfizer,1,1960-1969,19
20210215,Moderna,1,1970-1979,1
20210315,Moderna,2,1970-1979,1
20210201,Pfizer,2,1960-1969,17
20210215,AstraZeneca,1,1980-1989,11
20210104,Pfizer,1,1990+,9
20210125,Pfizer,2,1990+,10
20210215,Pfizer,1,1990+,9
20210308,Pfizer,2,1990+,9
20210208,Pfizer,1,1960-1969,12
20210301,Pfizer,2,1960-1969,12
20210104,Pfizer,1,<1940,8
20210125,Pfizer,2,<1940,9
20210215,AstraZeneca,1,1970-1979,22
20210222,AstraZeneca,1,1960-1969,9
