type_of_metadata;tablename;columnname;other;values
presence_of_table;VISIT_OCCURRENCE;;;Yes
presence_of_column;VISIT_OCCURRENCE;visit_end_date;;Yes
presence_of_column;VISIT_OCCURRENCE;specialty_of_visit;;Yes
presence_of_column;VISIT_OCCURRENCE;specialty_of_visit_vocabulary;;Yes
presence_of_column;VISIT_OCCURRENCE;status_at_discharge;;Yes
presence_of_column;VISIT_OCCURRENCE;status_at_discharge_vocabulary;;Yes
presence_of_table;EVENTS;;;Yes
presence_of_column;EVENTS;end_date_record;;Yes
presence_of_column;EVENTS;event_code;;Yes
presence_of_column;EVENTS;text_linked_to_event_code;;No
presence_of_column;EVENTS;event_free_text;;Yes
presence_of_column;EVENTS;present_on_admission;;Yes
presence_of_column;EVENTS;laterality_of_event;;No
presence_of_column;EVENTS;visit_occurrence_id;;Yes
presence_of_table;MEDICINES;;;Yes
presence_of_column;MEDICINES;medicinal_product_id;;Yes
presence_of_column;MEDICINES;date_dispensing;;Yes
presence_of_column;MEDICINES;date_prescription;;No
presence_of_column;MEDICINES;disp_number_medicinal_product;;No
presence_of_column;MEDICINES;presc_quantity_per_day;;No
presence_of_column;MEDICINES;presc_quantity_unit;;No
presence_of_column;MEDICINES;presc_duration_days;;No
presence_of_column;MEDICINES;product_lot_number ;;No
presence_of_column;MEDICINES;indication_code;;No
presence_of_column;MEDICINES;indication_code_vocabulary;;No
presence_of_column;MEDICINES;prescriber_speciality;;No
presence_of_column;MEDICINES;prescriber_speciality_vocabulary;;No
presence_of_column;MEDICINES;visit_occurrence_id;;No
presence_of_column;MEDICINES;product_lot_number;;No
presence_of_table;PROCEDURES;;;Yes
presence_of_column;PROCEDURES;visit_occurrence_id;;Yes
presence_of_table;VACCINES;;;Yes
presence_of_column;VACCINES;vx_record_date;;Yes
presence_of_column;VACCINES;vx_admin_date;;Yes
presence_of_column;VACCINES;vx_atc;;Yes
presence_of_column;VACCINES;vx_type;;No
presence_of_column;VACCINES;medicinal_product_id;;Yes
presence_of_column;VACCINES;vx_text;;No
presence_of_column;VACCINES;vx_dose;;Yes
presence_of_column;VACCINES;vx_manufacturer;;Yes
presence_of_column;VACCINES;vx_lot_num;;No
presence_of_column;VACCINES;visit_occurrence_id;;No
presence_of_table;MEDICAL_OBSERVATIONS;;;Yes
presence_of_column;MEDICAL_OBSERVATIONS;mo_code;;Yes
presence_of_column;MEDICAL_OBSERVATIONS;mo_record_vocabulary;;Yes
presence_of_column;MEDICAL_OBSERVATIONS;mo_source_table;;Yes
presence_of_column;MEDICAL_OBSERVATIONS;mo_source_column;;Yes
presence_of_column;MEDICAL_OBSERVATIONS;mo_unit;;Yes
presence_of_column;MEDICAL_OBSERVATIONS;visit_occurrence_id;;Yes
presence_of_table;SURVEY_ID;;;Yes
presence_of_table;SURVEY_OBSERVATIONS;;;Yes
presence_of_column;SURVEY_OBSERVATIONS;so_unit;;Yes
presence_of_table;PERSONS;;;Yes
presence_of_column;PERSONS;day_of_birth;;Yes
presence_of_column;PERSONS;month_of_birth;;Yes
presence_of_column;PERSONS;day_of_death;;Yes
presence_of_column;PERSONS;month_of_death;;Yes
presence_of_column;PERSONS;race;;No
presence_of_column;PERSONS;country_of_birth;;No
presence_of_column;PERSONS;quality;;Yes
presence_of_table;OBSERVATION_PERIODS;;;Yes
presence_of_table;PERSON_RELATIONSHIPS;;;Yes
presence_of_table;PRODUCTS;;;No
presence_of_column;PRODUCTS;medicinal_product_id;;No
presence_of_column;PRODUCTS;medicinal_product_name;;No
presence_of_column;PRODUCTS;unit_of_presentation_type;;No
presence_of_column;PRODUCTS;unit_of_presentation_num;;No
presence_of_column;PRODUCTS;administration_dose_form;;No
presence_of_column;PRODUCTS;administration_route;;No
presence_of_column;PRODUCTS;subst1_atc_code;;No
presence_of_column;PRODUCTS;subst2_atc_code;;No
presence_of_column;PRODUCTS;subst3_atc_code;;No
presence_of_column;PRODUCTS;subst1_amount_per_form;;No
presence_of_column;PRODUCTS;subst2_amount_per_form;;No
presence_of_column;PRODUCTS;subst3_amount_per_form;;No
presence_of_column;PRODUCTS;subst1_amount_unit;;No
presence_of_column;PRODUCTS;subst2_amount_unit;;No
presence_of_column;PRODUCTS;subst3_amount_unit;;No
presence_of_column;PRODUCTS;subst1_concentration;;No
presence_of_column;PRODUCTS;subst2_concentration;;No
presence_of_column;PRODUCTS;subst3_concentration;;No
presence_of_column;PRODUCTS;subst1_concentration_unit;;No
presence_of_column;PRODUCTS;subst2_concentration_unit;;No
presence_of_column;PRODUCTS;subst3_concentration_unit;;No
presence_of_column;PRODUCTS;concentration_total_content;;No
presence_of_column;PRODUCTS;concentration_total_content_unit;;No
presence_of_column;PRODUCTS;medicinal_product_manufacturer;;No
presence_of_table;CDM_SOURCE;;;Yes
presence_of_column;CDM_SOURCE;data_dictionary_link;;No
presence_of_column;CDM_SOURCE;etl_link;;No
presence_of_table;INSTANCE;;;Yes
presence_of_column;INSTANCE;date_when_data_last_updated;;Yes
presence_of_column;INSTANCE;since_when_data_complete;;Yes
presence_of_column;INSTANCE;up_to_when_data_complete;;Yes
presence_of_column;INSTANCE;restriction_in_values;;Yes
presence_of_column;INSTANCE;list_of_values;;Yes
presence_of_column;INSTANCE;restriction_condition;;Yes
presence_of_table;EUROCAT;;EUROmediCAT;No
presence_of_column;EUROCAT;sp_twin;;No
presence_of_column;EUROCAT;death_date;;No
presence_of_column;EUROCAT;datemo;;No
presence_of_column;EUROCAT;bmi;EUROmediCAT;No
